GAS_ZONES,TIMESERIES,LNG_import_ref_quantity,LNG_export_ref_quantity
FL,20230103,0,1689.6
FL,20230104,0,4070.4
FL,20230105,0,816
FL,20230106,0,8140.8
FL,20230107,0,26054.4
FL,20230109,0,10636.8
FL,20230110,0,2438.4
FL,20230113,0,11395.2
FL,20230115,0,26054.4
FL,20230116,0,2438.4
FL,20230118,0,2438.4
FL,20230120,0,13843.2
FL,20230122,0,816
FL,20230123,0,2438.4
FL,20230124,0,26899.2
FL,20230125,0,1632
FL,20230127,0,6508.8
FL,20230130,0,4886.4
FL,20230201,0,34195.2
FL,20230203,0,11395.2
FL,20230206,0,2476.8
FL,20230208,0,844.8
FL,20230209,0,27686.4
FL,20230210,0,14659.2
FL,20230211,0,1632
FL,20230215,0,4886.4
FL,20230217,0,16281.6
FL,20230218,0,30940.8
FL,20230220,0,2438.4
FL,20230221,0,844.8
FL,20230222,0,1632
FL,20230224,0,14649.6
FL,20230226,0,26054.4
FL,20230227,0,2438.4
FL,20230301,0,2438.4
FL,20230302,0,854.4
FL,20230303,0,2438.4
FL,20230306,0,4915.2
FL,20230307,0,28492.8
FL,20230308,0,2438.4
FL,20230309,0,816
FL,20230310,0,3254.4
FL,20230311,0,2438.4
FL,20230313,0,4070.4
FL,20230315,0,31756.8
FL,20230317,0,4070.4
FL,20230320,0,5702.4
FL,20230321,0,844.8
FL,20230322,0,2476.8
FL,20230323,0,26054.4
FL,20230324,0,8140.8
FL,20230327,0,1632
FL,20230329,0,2438.4
FL,20230331,0,30940.8
FL,20230403,0,2438.4
FL,20230404,0,7353.6
FL,20230405,0,844.8
FL,20230407,0,1632
FL,20230408,0,26054.4
FL,20230409,0,844.8
FL,20230410,0,844.8
FL,20230411,0,844.8
FL,20230412,0,3254.4
FL,20230413,0,7324.8
FL,20230414,0,2438.4
FL,20230416,0,7324.8
FL,20230417,0,3254.4
FL,20230419,0,3254.4
FL,20230421,0,5702.4
FL,20230424,0,1632
FL,20230426,0,4099.2
FL,20230427,0,844.8
FL,20230428,0,4070.4
FL,20230501,0,1632
FL,20230503,0,1632
FL,20230505,0,5702.4
FL,20230507,0,2438.4
FL,20230508,0,6508.8
FL,20230509,0,844.8
FL,20230510,0,1632
FL,20230512,0,1632
FL,20230515,0,8198.4
FL,20230517,0,3254.4
FL,20230519,0,4070.4
FL,20230522,0,3283.2
FL,20230523,0,1632
FL,20230524,0,4070.4
FL,20230526,0,7324.8
FL,20230530,0,3254.4
FL,20230531,0,1632
FL,20230602,0,2438.4
FL,20230606,0,6537.6
FL,20230607,0,4876.8
FL,20230609,0,7353.6
FL,20230612,0,3254.4
FL,20230614,0,3254.4
FL,20230616,0,1632
FL,20230618,0,1632
FL,20230619,0,2438.4
FL,20230620,0,844.8
FL,20230621,0,2476.8
FL,20230623,0,4886.4
FL,20230625,0,1632
FL,20230626,0,6576
FL,20230628,0,1632
FL,20230630,0,2438.4
FL,20230703,0,7324.8
FL,20230705,0,3283.2
FL,20230707,0,4070.4
FL,20230710,0,2438.4
FL,20230711,0,3283.2
FL,20230713,0,2438.4
FL,20230714,0,4070.4
FL,20230717,0,2438.4
FL,20230718,0,2438.4
FL,20230719,0,2438.4
FL,20230721,0,4886.4
FL,20230724,0,6633.6
FL,20230725,0,2438.4
FL,20230726,0,4886.4
FL,20230728,0,3254.4
FL,20230730,0,816
FL,20230801,0,7363.2
FL,20230802,0,2476.8
FL,20230803,0,2438.4
FL,20230804,0,4886.4
FL,20230807,0,4099.2
FL,20230809,0,1689.6
FL,20230810,0,1632
FL,20230811,0,3254.4
FL,20230813,0,4886.4
FL,20230814,0,3254.4
FL,20230817,0,816
FL,20230818,0,4886.4
FL,20230820,0,1632
FL,20230821,0,4099.2
FL,20230822,0,1689.6
FL,20230823,0,3254.4
FL,20230825,0,3254.4
FL,20230827,0,2438.4
FL,20230828,0,3254.4
FL,20230901,0,4886.4
FL,20230903,0,2438.4
FL,20230905,0,4099.2
FL,20230906,0,1689.6
FL,20230907,0,2438.4
FL,20230908,0,4886.4
FL,20230909,0,1632
FL,20230910,0,2438.4
FL,20230911,0,5692.8
FL,20230914,0,2438.4
FL,20230915,0,4070.4
FL,20230918,0,6537.6
FL,20230919,0,2515.2
FL,20230920,0,4099.2
FL,20230922,0,4070.4
FL,20230924,0,2438.4
FL,20230925,0,4828.8
FL,20230927,0,8169.6
FL,20231002,0,5692.8
FL,20231003,0,768
FL,20231004,0,4070.4
FL,20231006,0,1632
FL,20231009,0,5721.6
FL,20231010,0,1651.2
FL,20231011,0,1632
FL,20231012,0,816
FL,20231013,0,2438.4
FL,20231015,0,758.4
FL,20231016,0,4070.4
FL,20231017,0,777.6
FL,20231018,0,816
FL,20231020,0,3254.4
FL,20231022,0,787.2
FL,20231023,0,5721.6
FL,20231025,0,4915.2
FL,20231026,0,844.8
FL,20231030,0,2448
FL,20231102,0,5692.8
FL,20231104,0,4070.4
FL,20231106,0,2476.8
FL,20231109,0,4876.8
FL,20231111,0,1632
FL,20231112,0,816
FL,20231113,0,4070.4
FL,20231115,0,1689.6
FL,20231116,0,4070.4
FL,20231118,0,816
FL,20231120,0,3254.4
FL,20231123,0,4886.4
FL,20231125,0,4070.4
FL,20231126,0,739.2
FL,20231128,0,604.8
FL,20231130,0,3292.8
FL,20231201,0,3254.4
FL,20231203,0,844.8
FL,20231204,0,2438.4
FL,20231205,0,9715.2
FL,20231206,0,4070.4
FL,20231208,0,3254.4
FL,20231211,0,2438.4
FL,20231213,0,787.2
FL,20231214,0,6508.8
FL,20231216,0,816
FL,20231217,0,844.8
FL,20231218,0,1660.8
FL,20231219,0,2428.8
FL,20231220,0,2476.8
FL,20231221,0,844.8
FL,20231227,0,8947.2
FL,20231228,0,6508.8
FL,20231229,0,2438.4
FL,20231231,0,1632
GA,20230107,0,3525753.6
GA,20230125,0,3030912
GA,20230129,0,2488348.8
GA,20230203,0,3562272
GA,20230209,0,3467971.2
GA,20230223,0,3123830.4
GA,20230311,0,3459734.4
GA,20230314,0,412608
GA,20230322,0,3558076.8
GA,20230329,0,3529612.8
GA,20230405,0,3454070.4
GA,20230430,0,3575923.2
GA,20230505,0,276105.6
GA,20230514,0,3262032
GA,20230521,0,3544790.4
GA,20230603,0,2817484.8
GA,20230609,0,163.2
GA,20230615,0,2804361.6
GA,20230619,0,3439036.8
GA,20230625,0,211.2
GA,20230627,0,3414432
GA,20230704,0,3315004.8
GA,20230711,0,3684604.8
GA,20230721,0,1882464
GA,20230726,0,336
GA,20230808,0,2827488
GA,20230819,0,192
GA,20230902,0,1580275.2
GA,20230906,0,2807644.8
GA,20230915,0,345196.8
GA,20230917,0,192
GA,20230919,0,3787324.8
GA,20230930,0,2881516.8
GA,20231007,0,2897116.8
GA,20231009,0,19.2
GA,20231021,0,230.4
GA,20231027,0,3326649.6
GA,20231101,0,1918848
GA,20231118,0,3468835.2
GA,20231130,0,2384256
GA,20231201,0,260784
GA,20231205,0,13382.4
GA,20231208,0,3489734.4
GA,20231220,0,3559603.2
GA,20231222,0,183974.4
GA,20231229,0,3002688
LA,20230102,0,3533692.8
LA,20230103,0,13538112
LA,20230104,0,2818454.4
LA,20230105,0,9976627.2
LA,20230106,0,7007904
LA,20230107,0,10340131.2
LA,20230108,0,10148102.4
LA,20230109,0,6841248
LA,20230110,0,9843926.4
LA,20230111,0,3539107.2
LA,20230112,0,14015472
LA,20230113,0,6953683.2
LA,20230114,0,9520953.6
LA,20230115,0,9942249.6
LA,20230116,0,3402470.4
LA,20230118,0,13202688
LA,20230119,0,7033689.6
LA,20230120,0,12795244.8
LA,20230122,0,15713366.4
LA,20230123,0,3497971.2
LA,20230124,0,3112521.6
LA,20230125,0,13342032
LA,20230126,0,4081977.6
LA,20230127,0,13740336
LA,20230128,0,6008025.6
LA,20230129,0,6535171.2
LA,20230131,0,13832707.2
LA,20230201,0,6514771.2
LA,20230202,0,6828441.6
LA,20230203,0,3449750.4
LA,20230204,0,9957792
LA,20230205,0,7159948.8
LA,20230206,0,7036089.6
LA,20230207,0,9945811.2
LA,20230208,0,10412044.8
LA,20230209,0,3356764.8
LA,20230210,0,9996172.8
LA,20230211,0,6809280
LA,20230212,0,9613296
LA,20230213,0,7150588.8
LA,20230214,0,9718915.2
LA,20230215,0,10266960
LA,20230216,0,3517478.4
LA,20230217,0,9573859.2
LA,20230218,0,6952089.6
LA,20230219,0,10295155.2
LA,20230220,0,6529564.8
LA,20230221,0,6310636.8
LA,20230222,0,6594019.2
LA,20230223,0,6865257.6
LA,20230224,0,6677020.8
LA,20230225,0,7045545.6
LA,20230226,0,3351744
LA,20230227,0,9467808
LA,20230228,0,10082726.4
LA,20230301,0,6284160
LA,20230302,0,3462825.6
LA,20230303,0,13168483.2
LA,20230304,0,3546518.4
LA,20230305,0,13304217.6
LA,20230306,0,6620899.2
LA,20230307,0,6523881.6
LA,20230308,0,6554745.6
LA,20230309,0,3536083.2
LA,20230310,0,10174675.2
LA,20230311,0,6814464
LA,20230312,0,7063161.6
LA,20230313,0,10032921.6
LA,20230314,0,6916099.2
LA,20230315,0,6367036.8
