GAS_ZONES,TIMESERIES,DEMAND_SECTORS,gas_ref_price,gas_demand_ref_quantity
AL,20230101,EI,5.77437645986802,1428247.13178929
AL,20230101,RC,9.58062325606656,216908.185737296
AL,20230102,EI,5.82162165427185,1484829.44947297
AL,20230102,RC,9.65901066488699,204543.826145146
AL,20230103,EI,5.86886684867569,1483794.4808925
AL,20230103,RC,9.73739807370742,181218.929581033
AL,20230104,EI,6.04502583192984,1459848.85779569
AL,20230104,RC,10.029674281097,177371.675054029
AL,20230105,EI,6.09218005802439,1547503.16563469
AL,20230105,RC,10.1079107587986,254743.434128524
AL,20230106,EI,5.52699542929705,1649136.55040741
AL,20230106,RC,9.17017816800035,326503.906226466
AL,20230107,EI,5.64399936077418,1687828.84558281
AL,20230107,RC,9.36430658944149,348431.997309592
AL,20230108,EI,5.76100329225131,1585507.19125802
AL,20230108,RC,9.55843501088263,278240.133292574
AL,20230109,EI,5.87800722372845,1598761.56783238
AL,20230109,RC,9.75256343232376,301311.910440848
AL,20230110,EI,5.34551382663463,1751793.61920745
AL,20230110,RC,8.86907087527363,383452.895721662
AL,20230111,EI,5.48933697863898,1666178.47667142
AL,20230111,RC,9.10769671555788,334478.743561372
AL,20230112,EI,5.58481953711104,1464499.71105198
AL,20230112,RC,9.2661177029327,205248.60691744
AL,20230113,EI,5.51935035567812,1554263.86715625
AL,20230113,RC,9.15749375599209,250261.050414927
AL,20230114,EI,5.51820168448358,1954894.82216506
AL,20230114,RC,9.15558792494063,505741.606696959
AL,20230115,EI,5.51705301328904,2013859.49650712
AL,20230115,RC,9.15368209388917,545174.760276777
AL,20230116,EI,5.51590434209449,1826012.48597319
AL,20230116,RC,9.15177626283771,427418.646177878
AL,20230117,EI,5.51475567089995,1592469.39359486
AL,20230117,RC,9.14987043178625,293246.708339077
AL,20230118,EI,5.14383611195596,1435220.77210645
AL,20230118,RC,8.53445497052449,192124.54366
AL,20230119,EI,4.67665295869176,1423067.24741576
AL,20230119,RC,7.75932265725862,176356.633269674
AL,20230120,EI,5.06124940253541,1575060.24798444
AL,20230120,RC,8.39743027973483,250387.789903234
AL,20230121,EI,5.2100081178133,1675246.13357852
AL,20230121,RC,8.64424501670931,338170.704578797
AL,20230122,EI,5.3587668330912,1682123.18315391
AL,20230122,RC,8.8910597536838,339493.275688178
AL,20230123,EI,5.50752554836909,1738240.29181333
AL,20230123,RC,9.13787449065828,374359.118013278
AL,20230124,EI,5.37789502677129,1895927.93608259
AL,20230124,RC,8.92279651669046,475792.282947718
AL,20230125,EI,4.95942272025342,1784090.25039967
AL,20230125,RC,8.22848336622146,395710.100159318
AL,20230126,EI,4.36462269665487,1703285.51951975
AL,20230126,RC,7.2416140516899,352165.830604164
AL,20230127,EI,4.54014176415224,1963296.71580365
AL,20230127,RC,7.53282853547623,525379.274020296
AL,20230128,EI,4.53380708571696,1897243.44349207
AL,20230128,RC,7.52231828073989,478916.273375644
AL,20230129,EI,4.52747240728168,1746654.02997221
AL,20230129,RC,7.51180802600354,378394.371551519
AL,20230130,EI,4.5211377288464,1583554.32625065
AL,20230130,RC,7.5012977712672,275979.218282674
AL,20230131,EI,4.24766014093442,1480001.54267716
AL,20230131,RC,7.04755427931233,204014.652733677
AL,20230201,EI,4.24673381321924,1629136.41377746
AL,20230201,RC,7.04601735200728,272165.163824631
AL,20230202,EI,4.27785172257005,1718023.23726143
AL,20230202,RC,7.09764698995669,350995.858746765
AL,20230203,EI,3.84442176845806,1823692.97313932
AL,20230203,RC,6.37851668608729,425595.931825566
AL,20230204,EI,3.72085663251987,1961152.94387181
AL,20230204,RC,6.17350216664332,530932.389482635
AL,20230205,EI,3.59729149658168,1847358.47788845
AL,20230205,RC,5.96848764719934,446101.544425833
AL,20230206,EI,3.47372636064349,1641342.84986644
AL,20230206,RC,5.76347312775536,302536.67144331
AL,20230207,EI,3.76105024638487,1618060.4976552
AL,20230207,RC,6.24018986433962,278101.581098944
AL,20230208,EI,3.84023620954319,1560697.39468573
AL,20230208,RC,6.37157216777295,220336.734051149
AL,20230209,EI,3.83940019119422,1486372.72803308
AL,20230209,RC,6.37018507829371,149122.549005633
AL,20230210,EI,3.79058248005835,1502457.18153748
AL,20230210,RC,6.28918861021325,216217.332852262
AL,20230211,EI,3.81639729312979,1596298.66474823
AL,20230211,RC,6.33201955484981,279942.248178668
AL,20230212,EI,3.84221210620124,1794555.92581178
AL,20230212,RC,6.37485049948638,408310.589317213
AL,20230213,EI,3.86802691927268,1809766.36215497
AL,20230213,RC,6.41768144412295,419265.182796944
AL,20230214,EI,3.86718576648761,1683069.37775255
AL,20230214,RC,6.41628583578487,322070.407712707
AL,20230215,EI,3.91427487590184,1587464.6012057
AL,20230215,RC,6.49441427439585,224943.907541204
AL,20230216,EI,3.96152297944053,1430209.27364855
AL,20230216,RC,6.57280650994091,143078.606400871
AL,20230217,EI,3.64141872588408,1570737.25388339
AL,20230217,RC,6.04170184828556,192117.373215592
AL,20230218,EI,3.57695206525307,2046129.3141003
AL,20230218,RC,5.93474124528801,618901.221442129
AL,20230219,EI,3.51248540462206,1874107.77824688
AL,20230219,RC,5.82778064229045,469640.611412249
AL,20230220,EI,3.44801874399106,1576616.18577243
AL,20230220,RC,5.72082003929289,257519.21159187
AL,20230221,EI,3.38355208336005,1502607.77495857
AL,20230221,RC,5.61385943629534,185326.602961443
AL,20230222,EI,3.30318342290283,1473375.27038338
AL,20230222,RC,5.48051484700734,126876.969169854
AL,20230223,EI,3.46216236720308,1690640.96019657
AL,20230223,RC,5.7442865947577,115850.349923983
AL,20230224,EI,3.76465398747403,1668921.68099535
AL,20230224,RC,6.24616905290269,119265.629452627
AL,20230225,EI,3.86498420692403,1534491.21594075
AL,20230225,RC,6.41263309286085,163398.676459857
AL,20230226,EI,3.96531442637403,1520934.29240803
AL,20230226,RC,6.579097132819,155362.349209505
AL,20230227,EI,4.06564464582402,1518178.01747413
AL,20230227,RC,6.74556117277716,139846.05945422
AL,20230228,EI,3.98524166196246,1621529.4456708
AL,20230228,RC,6.61215963541726,136500.747699851
AL,20230301,EI,4.12800150328001,1646573.86826353
AL,20230301,RC,6.84902127152031,135474.408296682
AL,20230302,EI,4.25477683834565,1607406.82269193
AL,20230302,RC,7.05936202984579,120149.675059001
AL,20230303,EI,4.23811382747628,1468208.49840935
AL,20230303,RC,7.03171540331205,130828.243044803
AL,20230304,EI,4.13122308091804,1588649.19485209
AL,20230304,RC,6.85436638918878,158602.364101017
AL,20230305,EI,4.02433233435979,1563332.74700154
AL,20230305,RC,6.67701737506551,193023.590014226
AL,20230306,EI,3.91744158780155,1589320.35043208
AL,20230306,RC,6.49966836094224,176514.757905418
AL,20230307,EI,4.01230066233155,1638888.0858755
AL,20230307,RC,6.65705488774862,146430.295204666
AL,20230308,EI,3.97977442174595,1643937.22955236
AL,20230308,RC,6.60308860079926,139673.736098231
AL,20230309,EI,3.97909207127506,1523050.373631
AL,20230309,RC,6.60195647115103,154069.061114025
AL,20230310,EI,3.81927355655832,1495613.11596748
AL,20230310,RC,6.33679174046769,170033.372678321
AL,20230311,EI,3.81861917348044,1629545.10471848
AL,20230311,RC,6.33570601324191,253028.637330683
AL,20230312,EI,3.81796479040256,1584028.91829741
AL,20230312,RC,6.33462028601614,232690.263402067
AL,20230313,EI,3.81731040732468,1594665.31059603
AL,20230313,RC,6.33353455879037,239159.238067908
AL,20230314,EI,4.21422485521797,1777817.65019788
AL,20230314,RC,6.99207973965692,395608.98862827
AL,20230315,EI,3.89550281952689,1909699.35455692
AL,20230315,RC,6.46326840070368,518096.85216438
AL,20230316,EI,3.89491753859067,1762933.59894272
AL,20230316,RC,6.46229732509269,385413.172777362
AL,20230317,EI,3.8466467302321,1589776.656484
AL,20230317,RC,6.38220825705852,220980.784671932
AL,20230318,EI,3.74544466705036,1648228.69822569
AL,20230318,RC,6.2142976875244,272669.461173902
AL,20230319,EI,3.64424260386862,1894285.91454673
AL,20230319,RC,6.04638711799027,508090.519446475
AL,20230320,EI,3.54304054068688,2165567.68784127
AL,20230320,RC,5.87847654845615,831874.601401879
AL,20230321,EI,3.06593794942884,1958353.11602502
AL,20230321,RC,5.08688628531614,578722.328499441
AL,20230322,EI,3.22431076415563,1657068.90942114
AL,20230322,RC,5.34965236619872,300010.856185414
AL,20230323,EI,3.30323143748028,1550668.05336945
AL,20230323,RC,5.48059451094691,163119.637175368
AL,20230324,EI,3.23922158952486,1621471.69938572
AL,20230324,RC,5.37439183396506,117586.773931657
AL,20230325,EI,3.23873571475424,1627187.91175984
AL,20230325,RC,5.37358568923943,102708.653517867
AL,20230326,EI,3.23824983998362,1726034.05491427
AL,20230326,RC,5.3727795445138,107680.826808843
AL,20230327,EI,3.23776396521301,1618299.06667584
AL,20230327,RC,5.37197339978817,103486.498525723
AL,20230328,EI,3.20554035856631,1566761.04346463
AL,20230328,RC,5.31850923142656,117972.328274173
AL,20230329,EI,3.07812662345595,1578280.63002362
AL,20230329,RC,5.107109264309,183836.72322403
AL,20230330,EI,3.09352937337879,1562896.10314075
AL,20230330,RC,5.13266491436813,233315.783288147
AL,20230331,EI,3.33099375570848,1576915.11202449
AL,20230331,RC,5.52665668121031,171708.188675158
AL,20230401,EI,3.32520972448433,1513129.56112324
AL,20230401,RC,5.51706003914082,103396.085880605
AL,20230402,EI,3.31942569326019,1674517.07302189
AL,20230402,RC,5.50746339707133,141988.117323636
AL,20230403,EI,3.31364166203605,1512715.94532026
AL,20230403,RC,5.49786675500184,146679.397940091
AL,20230404,EI,3.37655469806693,1495458.76573897
AL,20230404,RC,5.60224964383777,119768.236880463
AL,20230405,EI,3.43944888596047,1820151.76446531
AL,20230405,RC,5.70660126056939,87819.2194653109
AL,20230406,EI,3.45478137127798,1777582.46184774
AL,20230406,RC,5.73204033029878,89521.0981238943
AL,20230407,EI,3.44238564967556,1634644.71615495
AL,20230407,RC,5.71147382593501,106019.283984648
AL,20230408,EI,3.42998992807314,1539014.12826129
AL,20230408,RC,5.69090732157124,140591.373834282
AL,20230409,EI,3.41759420647071,1583491.80418233
AL,20230409,RC,5.67034081720748,240410.422175337
AL,20230410,EI,3.40519848486829,1475953.09224067
AL,20230410,RC,5.64977431284371,171868.105189845
