GAS_ZONES,gas_storage_type,gas_storage_predet_build_year,gas_storage_predet_cap,gas_storage_removed_cap,gas_storage_total_cap
AL,aquifer,1999,0,0,0
AL,aquifer,2000,0,0,0
AL,aquifer,2001,0,0,0
AL,aquifer,2002,0,0,0
AL,aquifer,2003,0,0,0
AL,aquifer,2004,0,0,0
AL,aquifer,2005,0,0,0
AL,aquifer,2006,0,0,0
AL,aquifer,2007,0,0,0
AL,aquifer,2008,0,0,0
AL,aquifer,2009,0,0,0
AL,aquifer,2010,0,0,0
AL,aquifer,2011,0,0,0
AL,aquifer,2012,0,0,0
AL,aquifer,2013,0,0,0
AL,aquifer,2014,0,0,0
AL,aquifer,2015,0,0,0
AL,aquifer,2016,0,0,0
AL,aquifer,2017,0,0,0
AL,aquifer,2018,0,0,0
AL,aquifer,2019,0,0,0
AL,aquifer,2020,0,0,0
AL,aquifer,2021,0,0,0
AL,aquifer,2022,0,0,0
AL,depleted field,1999,0,0,0
AL,depleted field,2000,0,0,0
AL,depleted field,2001,1720651.85185185,0,1720651.85185185
AL,depleted field,2002,0,0,1720651.85185185
AL,depleted field,2003,615133.037037037,0,2335784.88888889
AL,depleted field,2004,0,0,2335784.88888889
AL,depleted field,2005,0,0,2335784.88888889
AL,depleted field,2006,7127800.2962963,0,9463585.18518518
AL,depleted field,2007,0,0,9463585.18518518
AL,depleted field,2008,0,130585.185185185,9333000
AL,depleted field,2009,0,0,9333000
AL,depleted field,2010,0,0,9333000
AL,depleted field,2011,2281400,0,11614400
AL,depleted field,2012,0,0,11614400
AL,depleted field,2013,0,0,11614400
AL,depleted field,2014,0,0,11614400
AL,depleted field,2015,0,0,11614400
AL,depleted field,2016,0,0,11614400
AL,depleted field,2017,0,0,11614400
AL,depleted field,2018,0,0,11614400
AL,depleted field,2019,0,0,11614400
AL,depleted field,2020,0,0,11614400
AL,depleted field,2021,0,0,11614400
AL,depleted field,2022,0,0,11614400
AL,salt cavern,1999,2480393.75415282,0,2480393.75415282
AL,salt cavern,2000,0,0,2480393.75415282
AL,salt cavern,2001,0,0,2480393.75415282
AL,salt cavern,2002,2450145.04983389,0,4930538.80398671
AL,salt cavern,2003,1346067.34219269,0,6276606.1461794
AL,salt cavern,2004,0,0,6276606.1461794
