GAS_ZONES,TIMESERIES,gas_import_ref_quantity,gas_export_ref_quantity
AZ,20230101,0,115318.935483871
AZ,20230129,0,115318.935483871
AZ,20230130,0,115318.935483871
AZ,20230126,0,115318.935483871
AZ,20230123,0,115318.935483871
AZ,20230120,0,115318.935483871
AZ,20230121,0,115318.935483871
AZ,20230117,0,115318.935483871
AZ,20230114,0,115318.935483871
AZ,20230111,0,115318.935483871
AZ,20230112,0,115318.935483871
AZ,20230108,0,115318.935483871
AZ,20230105,0,115318.935483871
AZ,20230102,0,115318.935483871
AZ,20230103,0,115318.935483871
AZ,20230131,0,115318.935483871
AZ,20230127,0,115318.935483871
AZ,20230124,0,115318.935483871
AZ,20230125,0,115318.935483871
AZ,20230122,0,115318.935483871
AZ,20230118,0,115318.935483871
AZ,20230115,0,115318.935483871
AZ,20230116,0,115318.935483871
AZ,20230113,0,115318.935483871
AZ,20230109,0,115318.935483871
AZ,20230106,0,115318.935483871
AZ,20230107,0,115318.935483871
AZ,20230104,0,115318.935483871
AZ,20230128,0,115318.935483871
AZ,20230119,0,115318.935483871
AZ,20230110,0,115318.935483871
AZ,20231001,0,124985.806451613
AZ,20231029,0,124985.806451613
AZ,20231030,0,124985.806451613
AZ,20231026,0,124985.806451613
AZ,20231023,0,124985.806451613
AZ,20231020,0,124985.806451613
AZ,20231021,0,124985.806451613
AZ,20231017,0,124985.806451613
AZ,20231014,0,124985.806451613
AZ,20231011,0,124985.806451613
AZ,20231012,0,124985.806451613
AZ,20231008,0,124985.806451613
AZ,20231005,0,124985.806451613
AZ,20231002,0,124985.806451613
AZ,20231003,0,124985.806451613
AZ,20231031,0,124985.806451613
AZ,20231027,0,124985.806451613
AZ,20231024,0,124985.806451613
AZ,20231025,0,124985.806451613
AZ,20231022,0,124985.806451613
AZ,20231018,0,124985.806451613
AZ,20231015,0,124985.806451613
AZ,20231016,0,124985.806451613
AZ,20231013,0,124985.806451613
AZ,20231009,0,124985.806451613
AZ,20231006,0,124985.806451613
AZ,20231007,0,124985.806451613
AZ,20231004,0,124985.806451613
AZ,20231028,0,124985.806451613
AZ,20231019,0,124985.806451613
AZ,20231010,0,124985.806451613
AZ,20231101,0,134600.6
AZ,20231129,0,134600.6
AZ,20231130,0,134600.6
AZ,20231126,0,134600.6
AZ,20231123,0,134600.6
AZ,20231120,0,134600.6
AZ,20231121,0,134600.6
AZ,20231117,0,134600.6
AZ,20231114,0,134600.6
AZ,20231111,0,134600.6
AZ,20231112,0,134600.6
AZ,20231108,0,134600.6
AZ,20231105,0,134600.6
AZ,20231102,0,134600.6
AZ,20231103,0,134600.6
AZ,20231122,0,134600.6
AZ,20231127,0,134600.6
AZ,20231124,0,134600.6
AZ,20231125,0,134600.6
AZ,20231113,0,134600.6
AZ,20231118,0,134600.6
AZ,20231115,0,134600.6
AZ,20231116,0,134600.6
AZ,20231104,0,134600.6
AZ,20231109,0,134600.6
AZ,20231106,0,134600.6
AZ,20231107,0,134600.6
AZ,20231128,0,134600.6
AZ,20231119,0,134600.6
AZ,20231110,0,134600.6
AZ,20231201,0,114342.483870968
AZ,20231229,0,114342.483870968
AZ,20231230,0,114342.483870968
AZ,20231226,0,114342.483870968
AZ,20231223,0,114342.483870968
AZ,20231220,0,114342.483870968
AZ,20231221,0,114342.483870968
AZ,20231217,0,114342.483870968
AZ,20231214,0,114342.483870968
AZ,20231211,0,114342.483870968
AZ,20231212,0,114342.483870968
AZ,20231208,0,114342.483870968
AZ,20231205,0,114342.483870968
AZ,20231202,0,114342.483870968
AZ,20231203,0,114342.483870968
AZ,20231231,0,114342.483870968
AZ,20231227,0,114342.483870968
AZ,20231224,0,114342.483870968
AZ,20231225,0,114342.483870968
AZ,20231222,0,114342.483870968
AZ,20231218,0,114342.483870968
AZ,20231215,0,114342.483870968
AZ,20231216,0,114342.483870968
AZ,20231213,0,114342.483870968
AZ,20231209,0,114342.483870968
AZ,20231206,0,114342.483870968
AZ,20231207,0,114342.483870968
AZ,20231204,0,114342.483870968
AZ,20231228,0,114342.483870968
AZ,20231219,0,114342.483870968
AZ,20231210,0,114342.483870968
AZ,20230201,0,116575.535714286
AZ,20230220,0,116575.535714286
AZ,20230221,0,116575.535714286
AZ,20230226,0,116575.535714286
AZ,20230223,0,116575.535714286
AZ,20230211,0,116575.535714286
AZ,20230212,0,116575.535714286
AZ,20230217,0,116575.535714286
AZ,20230214,0,116575.535714286
AZ,20230202,0,116575.535714286
AZ,20230203,0,116575.535714286
AZ,20230208,0,116575.535714286
AZ,20230205,0,116575.535714286
AZ,20230224,0,116575.535714286
AZ,20230225,0,116575.535714286
AZ,20230222,0,116575.535714286
AZ,20230227,0,116575.535714286
AZ,20230215,0,116575.535714286
AZ,20230216,0,116575.535714286
AZ,20230213,0,116575.535714286
AZ,20230218,0,116575.535714286
AZ,20230206,0,116575.535714286
AZ,20230207,0,116575.535714286
AZ,20230204,0,116575.535714286
AZ,20230209,0,116575.535714286
AZ,20230228,0,116575.535714286
AZ,20230219,0,116575.535714286
AZ,20230210,0,116575.535714286
AZ,20230301,0,99760.8064516129
AZ,20230329,0,99760.8064516129
AZ,20230330,0,99760.8064516129
AZ,20230326,0,99760.8064516129
AZ,20230323,0,99760.8064516129
