GAS_ZONES,DRILL_TYPE,gas_well_predet_build_year,gas_well_predet_num,gas_well_total_num
AL,V,2005,0,13
AL,D,2005,0,3871
AL,V,2015,0,18
AL,D,2015,0,5369
AL,V,2012,0,18
AL,D,2012,0,5369
AL,V,2013,0,18
AL,D,2013,0,5369
AL,V,2014,0,18
AL,D,2014,0,5369
AL,V,2008,1,18
AL,D,2008,268,5203
AL,V,2009,0,18
AL,D,2009,53,5256
AL,V,2010,0,18
AL,D,2010,113,5369
AL,V,2011,0,18
AL,D,2011,0,5369
AL,V,1998,0,9
AL,D,1998,15,2520
AL,V,1999,0,9
AL,D,1999,33,2553
AL,V,2016,0,18
AL,D,2016,0,5369
AL,V,2017,0,18
AL,D,2017,0,5369
AL,V,2018,0,18
AL,D,2018,0,5369
AL,V,1990,2,2
AL,D,1990,637,637
AL,V,1991,3,6
AL,D,1991,1027,1663
AL,V,1992,0,6
AL,D,1992,0,1663
AL,V,2007,1,17
AL,D,2007,363,4935
AL,V,2019,0,18
AL,D,2019,0,5369
AL,V,2004,1,13
AL,D,2004,368,3871
AL,V,1997,0,9
AL,D,1997,51,2505
AL,V,2001,1,10
AL,D,2001,237,2945
AL,V,2002,1,11
AL,D,2002,205,3150
AL,V,2003,1,12
AL,D,2003,353,3503
AL,V,2000,1,9
AL,D,2000,154,2708
AL,V,1996,2,8
AL,D,1996,577,2455
AL,V,2020,0,18
AL,D,2020,0,5369
AL,V,1993,1,6
AL,D,1993,163,1827
AL,V,1995,0,6
AL,D,1995,0,1878
AL,V,1994,0,6
AL,D,1994,51,1878
AL,V,2006,2,16
AL,D,2006,702,4572
AR,V,2008,22,295
AR,D,2008,1,10
AR,H,2008,796,10588
AR,V,2002,46,214
AR,D,2002,1,7
AR,H,2002,1646,7689
AR,V,2007,26,273
AR,D,2007,1,9
AR,H,2007,932,9792
AR,V,2009,20,315
AR,D,2009,1,10
AR,H,2009,702,11290
AR,V,2010,29,344
AR,D,2010,1,11
AR,H,2010,1053,12343
AR,V,2018,0,413
AR,D,2018,0,13
AR,H,2018,0,14833
AR,V,2011,28,372
AR,D,2011,1,12
AR,H,2011,1002,13345
AR,V,2016,0,413
AR,D,2016,0,13
AR,H,2016,0,14833
AR,V,2017,0,413
AR,D,2017,0,13
AR,H,2017,0,14833
AR,V,2014,12,408
AR,D,2014,0,13
AR,H,2014,441,14657
AR,V,2015,5,413
AR,D,2015,0,13
AR,H,2015,176,14833
