GAS_ZONES,RC_price_markup
AL,1.659161526
AR,1.358162444
AZ,1.486984874
CA,1.137609637
CO,1.086005481
CT,1.632291814
DC,1.582634064
DE,1.560894318
FL,1.266802605
GA,1.558787816
IA,1.15172899
ID,1.360834082
IL,1.274015826
IN,1.364681618
KS,1.257769254
KY,1.347785884
LA,1.417576177
MA,1.767536573
MD,1.484477453
ME,1.602707646
MI,1.240731872
MN,1.406958086
MO,1.303468662
MS,1.34849715
MT,1.255372261
NC,1.533135886
ND,1.25430727
NE,1.233471121
NH,1.732995665
NJ,1.487758374
NM,1.17939825
NV,1.18018667
NY,1.52321485
OH,1.345591037
OK,1.216775828
OR,1.535229787
PA,1.647938498
RI,1.697848502
SC,1.470976193
SD,1.29536226
TN,1.371300143
TX,1.159828834
UT,1.172632952
VA,1.519230055
VT,1.699784076
WA,1.386535169
WI,1.348059127
WV,1.487588858
WY,1.182990729
