gas_line_gz1,gas_line_gz2,gas_line_predet_build_year,gas_line_predet_cap,gas_line_removed_cap,gas_line_total_cap
AL,FL,1990,1021445,0,1021445
AL,FL,1994,124440,0,1145885
AL,FL,1995,554795,0,1700680
AL,FL,1996,0,0,1700680
AL,FL,1997,0,0,1700680
AL,FL,1998,25925,0,1726605
AL,FL,1999,0,0,1726605
AL,FL,2000,0,0,1726605
AL,FL,2001,207400,0,1934005
AL,FL,2002,1480836,0,3414841
AL,FL,2003,260287,0,3675128
AL,FL,2004,0,0,3675128
AL,FL,2005,0,0,3675128
AL,FL,2006,0,0,3675128
AL,FL,2007,0,0,3675128
AL,FL,2008,160735,0,3835863
AL,FL,2009,0,0,3835863
AL,FL,2010,49776,0,3885639
AL,FL,2011,1014186,0,4899825
AL,FL,2012,41480,0,4941305
AL,FL,2013,0,0,4941305
AL,FL,2014,0,0,4941305
AL,FL,2015,0,0,4941305
AL,FL,2016,0,0,4941305
AL,FL,2017,0,0,4941305
AL,FL,2018,69479,0,5010784
AL,FL,2019,0,0,5010784
AL,FL,2020,0,0,5010784
AL,FL,2021,0,0,5010784
AL,FL,2022,29036,0,5039820
AL,GA,1990,5052264,0,5052264
AL,GA,1994,90219,0,5142483
AL,GA,1995,119255,0,5261738
AL,GA,1996,57035,0,5318773
AL,GA,1997,150365,0,5469138
AL,GA,1998,157624,0,5626762
AL,GA,1999,0,0,5626762
AL,GA,2000,207400,0,5834162
AL,GA,2001,17629,0,5851791
AL,GA,2002,487390,0,6339181
AL,GA,2003,674050,0,7013231
AL,GA,2004,198067,0,7211298
AL,GA,2005,0,0,7211298
AL,GA,2006,0,0,7211298
AL,GA,2007,0,0,7211298
AL,GA,2008,0,0,7211298
AL,GA,2009,0,0,7211298
AL,GA,2010,129625,0,7340923
AL,GA,2011,227103,0,7568026
AL,GA,2012,228140,0,7796166
AL,GA,2013,0,0,7796166
AL,GA,2014,0,0,7796166
AL,GA,2015,0,0,7796166
AL,GA,2016,0,0,7796166
AL,GA,2017,860710,0,8656876
AL,GA,2018,0,0,8656876
AL,GA,2019,0,0,8656876
AL,GA,2020,230214,0,8887090
AL,GA,2021,306952,0,9194042
AL,GA,2022,0,0,9194042
AL,MS,1990,155550,0,155550
AL,MS,1994,51850,0,207400
AL,MS,1995,0,0,207400
AL,MS,1996,0,0,207400
AL,MS,1997,0,0,207400
AL,MS,1998,0,0,207400
AL,MS,1999,0,0,207400
AL,MS,2000,0,0,207400
AL,MS,2001,0,0,207400
AL,MS,2002,0,0,207400
AL,MS,2003,0,0,207400
AL,MS,2004,0,0,207400
AL,MS,2005,0,0,207400
AL,MS,2006,0,0,207400
AL,MS,2007,0,0,207400
AL,MS,2008,0,0,207400
AL,MS,2009,985150,0,1192550
AL,MS,2010,0,0,1192550
AL,MS,2011,0,0,1192550
AL,MS,2012,0,0,1192550
AL,MS,2013,0,0,1192550
AL,MS,2014,1140700,0,2333250
AL,MS,2015,388875,0,2722125
AL,MS,2016,357765,0,3079890
AL,MS,2017,518500,0,3598390
AL,MS,2018,0,0,3598390
AL,MS,2019,0,0,3598390
AL,MS,2020,77775,0,3676165
AL,MS,2021,0,0,3676165
AL,MS,2022,0,0,3676165
AL,TN,1990,3887713,0,3887713
AL,TN,1994,346358,0,4234071
AL,TN,1995,0,0,4234071
AL,TN,1996,0,0,4234071
AL,TN,1997,0,0,4234071
AL,TN,1998,0,0,4234071
AL,TN,1999,0,0,4234071
AL,TN,2000,0,0,4234071
AL,TN,2001,0,0,4234071
AL,TN,2002,0,0,4234071
AL,TN,2003,0,0,4234071
AL,TN,2004,59109,0,4293180
AL,TN,2005,0,0,4293180
AL,TN,2006,0,0,4293180
AL,TN,2007,0,0,4293180
AL,TN,2008,0,0,4293180
AL,TN,2009,0,0,4293180
AL,TN,2010,0,0,4293180
AL,TN,2011,0,0,4293180
AL,TN,2012,0,0,4293180
AL,TN,2013,0,0,4293180
AL,TN,2014,0,0,4293180
AL,TN,2015,0,0,4293180
AL,TN,2016,0,0,4293180
AL,TN,2017,0,0,4293180
AL,TN,2018,0,0,4293180
AL,TN,2019,0,0,4293180
AL,TN,2020,0,0,4293180
AL,TN,2021,0,0,4293180
AL,TN,2022,0,0,4293180
AR,LA,1990,732122,0,732122
AR,LA,1994,0,0,732122
AR,LA,1995,0,0,732122
AR,LA,1996,0,0,732122
AR,LA,1997,0,0,732122
AR,LA,1998,0,0,732122
AR,LA,1999,0,0,732122
AR,LA,2000,0,0,732122
AR,LA,2001,0,0,732122
AR,LA,2002,0,0,732122
AR,LA,2003,0,0,732122
AR,LA,2004,0,0,732122
AR,LA,2005,0,0,732122
AR,LA,2006,0,0,732122
AR,LA,2007,0,0,732122
AR,LA,2008,0,0,732122
AR,LA,2009,0,0,732122
AR,LA,2010,0,0,732122
AR,LA,2011,0,0,732122
AR,LA,2012,0,0,732122
AR,LA,2013,0,0,732122
AR,LA,2014,0,0,732122
AR,LA,2015,777750,0,1509872
AR,LA,2016,786046,0,2295918
AR,LA,2017,2479467,0,4775385
AR,LA,2018,0,0,4775385
AR,LA,2019,0,0,4775385
AR,LA,2020,0,0,4775385
AR,LA,2021,0,0,4775385
AR,LA,2022,171105,0,4946490
AR,MO,1990,2915007,0,2915007
AR,MO,1994,0,51850,2863157
AR,MO,1995,0,0,2863157
AR,MO,1996,2074,0,2865231
AR,MO,1997,0,2074,2863157
AR,MO,1998,0,0,2863157
AR,MO,1999,0,0,2863157
AR,MO,2000,0,0,2863157
AR,MO,2001,0,0,2863157
AR,MO,2002,0,0,2863157
AR,MO,2003,0,0,2863157
AR,MO,2004,0,0,2863157
AR,MO,2005,0,0,2863157
AR,MO,2006,0,0,2863157
AR,MO,2007,0,0,2863157
AR,MO,2008,0,0,2863157
AR,MO,2009,0,0,2863157
AR,MO,2010,0,0,2863157
AR,MO,2011,0,0,2863157
AR,MO,2012,0,0,2863157
AR,MO,2013,0,0,2863157
AR,MO,2014,0,0,2863157
AR,MO,2015,0,0,2863157
AR,MO,2016,0,0,2863157
AR,MO,2017,0,0,2863157
AR,MO,2018,0,0,2863157
AR,MO,2019,0,0,2863157
AR,MO,2020,0,0,2863157
AR,MO,2021,0,0,2863157
AR,MO,2022,0,0,2863157
AR,MS,1990,8822796,0,8822796
AR,MS,1994,198067,0,9020863
AR,MS,1995,0,0,9020863
AR,MS,1996,0,0,9020863
AR,MS,1997,0,0,9020863
AR,MS,1998,0,0,9020863
AR,MS,1999,0,0,9020863
AR,MS,2000,0,264435,8756428
AR,MS,2001,0,0,8756428
AR,MS,2002,0,0,8756428
AR,MS,2003,0,0,8756428
AR,MS,2004,0,0,8756428
AR,MS,2005,0,0,8756428
AR,MS,2006,0,0,8756428
AR,MS,2007,0,0,8756428
AR,MS,2008,0,0,8756428
AR,MS,2009,1002779,0,9759207
AR,MS,2010,2074000,0,11833207
AR,MS,2011,0,0,11833207
AR,MS,2012,0,0,11833207
AR,MS,2013,0,0,11833207
AR,MS,2014,0,0,11833207
AR,MS,2015,0,0,11833207
AR,MS,2016,0,0,11833207
AR,MS,2017,0,0,11833207
AR,MS,2018,0,0,11833207
AR,MS,2019,0,0,11833207
AR,MS,2020,0,0,11833207
AR,MS,2021,0,0,11833207
AR,MS,2022,0,0,11833207
AR,OK,1990,20740,0,20740
AR,OK,1994,0,0,20740
AR,OK,1995,0,0,20740
AR,OK,1996,0,0,20740
AR,OK,1997,0,0,20740
AR,OK,1998,0,0,20740
AR,OK,1999,0,0,20740
AR,OK,2000,0,0,20740
AR,OK,2001,0,0,20740
AR,OK,2002,0,0,20740
AR,OK,2003,0,0,20740
AR,OK,2004,0,0,20740
AR,OK,2005,0,0,20740
AR,OK,2006,0,0,20740
AR,OK,2007,0,0,20740
AR,OK,2008,0,0,20740
AR,OK,2009,0,0,20740
AR,OK,2010,0,0,20740
AR,OK,2011,0,0,20740
AR,OK,2012,0,0,20740
AR,OK,2013,0,0,20740
AR,OK,2014,0,0,20740
AR,OK,2015,0,0,20740
AR,OK,2016,0,0,20740
AR,OK,2017,0,0,20740
AR,OK,2018,0,0,20740
AR,OK,2019,0,0,20740
AR,OK,2020,0,0,20740
AR,OK,2021,0,0,20740
AR,OK,2022,0,0,20740
AR,TX,1990,658495,0,658495
AR,TX,1994,119255,0,777750
AR,TX,1995,0,0,777750
AR,TX,1996,0,0,777750
AR,TX,1997,0,0,777750
AR,TX,1998,0,0,777750
AR,TX,1999,0,0,777750
AR,TX,2000,0,0,777750
AR,TX,2001,0,0,777750
AR,TX,2002,0,0,777750
AR,TX,2003,0,0,777750
AR,TX,2004,0,0,777750
AR,TX,2005,0,0,777750
AR,TX,2006,0,0,777750
AR,TX,2007,0,0,777750
AR,TX,2008,0,0,777750
AR,TX,2009,0,0,777750
AR,TX,2010,0,0,777750
AR,TX,2011,0,0,777750
AR,TX,2012,0,0,777750
AR,TX,2013,0,0,777750
AR,TX,2014,0,0,777750
AR,TX,2015,0,0,777750
AR,TX,2016,0,0,777750
AR,TX,2017,0,0,777750
AR,TX,2018,477020,0,1254770
AR,TX,2019,0,0,1254770
AR,TX,2020,0,0,1254770
AR,TX,2021,311100,0,1565870
AR,TX,2022,0,0,1565870
AZ,CA,1990,3608760,0,3608760
AZ,CA,1994,1394765,0,5003525
AZ,CA,1995,0,0,5003525
AZ,CA,1996,0,0,5003525
AZ,CA,1997,0,0,5003525
AZ,CA,1998,0,0,5003525
AZ,CA,1999,0,0,5003525
AZ,CA,2000,0,0,5003525
AZ,CA,2001,0,0,5003525
AZ,CA,2002,964410,0,5967935
AZ,CA,2003,0,0,5967935
AZ,CA,2004,0,0,5967935
AZ,CA,2005,520574,0,6488509
AZ,CA,2006,0,0,6488509
AZ,CA,2007,0,0,6488509
AZ,CA,2008,0,0,6488509
AZ,CA,2009,0,0,6488509
AZ,CA,2010,0,0,6488509
AZ,CA,2011,0,0,6488509
AZ,CA,2012,0,0,6488509
AZ,CA,2013,0,0,6488509
AZ,CA,2014,0,0,6488509
AZ,CA,2015,0,0,6488509
AZ,CA,2016,0,0,6488509
AZ,CA,2017,0,0,6488509
AZ,CA,2018,188734,0,6677243
AZ,CA,2019,0,0,6677243
AZ,CA,2020,342210,0,7019453
AZ,CA,2021,0,0,7019453
AZ,CA,2022,513315,0,7532768
AZ,NV,1990,171105,0,171105
AZ,NV,1994,0,0,171105
AZ,NV,1995,0,0,171105
AZ,NV,1996,0,0,171105
AZ,NV,1997,0,0,171105
AZ,NV,1998,0,0,171105
AZ,NV,1999,0,0,171105
AZ,NV,2000,0,0,171105
AZ,NV,2001,0,0,171105
AZ,NV,2002,0,0,171105
AZ,NV,2003,0,0,171105
AZ,NV,2004,0,0,171105
AZ,NV,2005,0,0,171105
AZ,NV,2006,0,0,171105
AZ,NV,2007,0,0,171105
AZ,NV,2008,0,0,171105
AZ,NV,2009,0,0,171105
AZ,NV,2010,0,0,171105
AZ,NV,2011,0,0,171105
AZ,NV,2012,0,0,171105
AZ,NV,2013,0,0,171105
AZ,NV,2014,0,0,171105
AZ,NV,2015,0,0,171105
AZ,NV,2016,0,0,171105
AZ,NV,2017,0,0,171105
AZ,NV,2018,0,0,171105
AZ,NV,2019,0,0,171105
AZ,NV,2020,0,0,171105
AZ,NV,2021,0,0,171105
AZ,NV,2022,0,0,171105
CA,AZ,1990,0,0,0
CA,AZ,1994,0,0,0
CA,AZ,1995,0,0,0
CA,AZ,1996,0,0,0
CA,AZ,1997,0,0,0
CA,AZ,1998,0,0,0
CA,AZ,1999,0,0,0
CA,AZ,2000,0,0,0
CA,AZ,2001,0,0,0
CA,AZ,2002,0,0,0
CA,AZ,2003,0,0,0
CA,AZ,2004,0,0,0
CA,AZ,2005,0,0,0
CA,AZ,2006,0,0,0
CA,AZ,2007,636718,0,636718
CA,AZ,2008,0,0,636718
CA,AZ,2009,0,0,636718
CA,AZ,2010,83997,0,720715
CA,AZ,2011,0,0,720715
CA,AZ,2012,0,0,720715
CA,AZ,2013,0,0,720715
