GAS_LINES,gas_line_predet_build_year,gas_line_predet_cap,gas_line_removed_cap,gas_line_total_cap_general
AL_FL,1990,1021445,0,1021445
AL_FL,1991,0,0,1021445
AL_FL,1992,0,0,1021445
AL_FL,1993,0,0,1021445
AL_FL,1994,124440,0,1145885
AL_FL,1995,554795,0,1700680
AL_FL,1996,0,0,1700680
AL_FL,1997,0,0,1700680
AL_FL,1998,25925,0,1726605
AL_FL,1999,0,0,1726605
AL_FL,2000,0,0,1726605
AL_FL,2001,207400,0,1934005
AL_FL,2002,1480836,0,3414841
AL_FL,2003,260287,0,3675128
AL_FL,2004,0,0,3675128
AL_FL,2005,0,0,3675128
AL_FL,2006,0,0,3675128
AL_FL,2007,0,0,3675128
AL_FL,2008,160735,0,3835863
AL_FL,2009,0,0,3835863
AL_FL,2010,49776,0,3885639
AL_FL,2011,1014186,0,4899825
AL_FL,2012,41480,0,4941305
AL_FL,2013,0,0,4941305
AL_FL,2014,0,0,4941305
AL_FL,2015,0,0,4941305
AL_FL,2016,0,0,4941305
AL_FL,2017,0,0,4941305
AL_FL,2018,69479,0,5010784
AL_FL,2019,0,0,5010784
AL_FL,2020,0,0,5010784
AL_FL,2021,0,0,5010784
AL_FL,2022,29036,0,5039820
AL_GA,1990,5052264,0,5052264
AL_GA,1991,0,0,5052264
AL_GA,1992,0,0,5052264
AL_GA,1993,0,0,5052264
AL_GA,1994,90219,0,5142483
AL_GA,1995,119255,0,5261738
AL_GA,1996,57035,0,5318773
AL_GA,1997,150365,0,5469138
AL_GA,1998,157624,0,5626762
AL_GA,1999,0,0,5626762
AL_GA,2000,207400,0,5834162
AL_GA,2001,17629,0,5851791
AL_GA,2002,487390,0,6339181
AL_GA,2003,674050,0,7013231
AL_GA,2004,198067,0,7211298
AL_GA,2005,0,0,7211298
AL_GA,2006,0,0,7211298
AL_GA,2007,0,0,7211298
AL_GA,2008,0,0,7211298
AL_GA,2009,0,0,7211298
AL_GA,2010,129625,0,7340923
AL_GA,2011,227103,0,7568026
AL_GA,2012,228140,0,7796166
AL_GA,2013,0,0,7796166
AL_GA,2014,0,0,7796166
AL_GA,2015,544425,0,7796166
AL_GA,2016,0,0,7796166
AL_GA,2017,860710,0,8656876
AL_GA,2018,751825,0,8656876
AL_GA,2019,0,0,8656876
AL_GA,2020,230214,0,8887090
AL_GA,2021,306952,0,9194042
AL_GA,2022,0,0,9194042
AL_MS,1990,11289819,0,11289819
AL_MS,1991,0,0,11289819
AL_MS,1992,0,0,11289819
AL_MS,1993,0,0,11289819
AL_MS,1994,573461,0,11863280
AL_MS,1995,496723,0,12360003
AL_MS,1996,57035,0,12417038
AL_MS,1997,150365,0,12567403
AL_MS,1998,0,0,12567403
AL_MS,1999,0,0,12567403
AL_MS,2000,0,0,12567403
AL_MS,2001,82960,0,12650363
AL_MS,2002,692716,0,13343079
AL_MS,2003,910486,0,14253565
AL_MS,2004,173179,0,14426744
AL_MS,2005,0,0,14426744
AL_MS,2006,0,0,14426744
AL_MS,2007,0,0,14426744
AL_MS,2008,3678239,0,18104983
AL_MS,2009,1589721,0,19694704
AL_MS,2010,0,0,19694704
AL_MS,2011,129625,0,19824329
AL_MS,2012,129625,0,19953954
AL_MS,2013,0,0,19953954
AL_MS,2014,1140700,0,20483861
AL_MS,2015,388875,0,20530526
AL_MS,2016,357765,0,20530526
AL_MS,2017,518500,0,20530526
AL_MS,2018,71553,0,20602079
AL_MS,2019,0,0,20602079
AL_MS,2020,77775,0,20602079
AL_MS,2021,306952,0,20909031
AL_MS,2022,285175,0,21194206
AL_TN,1990,3887713,0,3887713
AL_TN,1991,0,0,3887713
AL_TN,1992,0,0,3887713
AL_TN,1993,0,0,3887713
AL_TN,1994,346358,0,4234071
AL_TN,1995,0,0,4234071
AL_TN,1996,0,0,4234071
AL_TN,1997,0,0,4234071
AL_TN,1998,21777,0,4234071
AL_TN,1999,0,0,4234071
AL_TN,2000,0,0,4234071
AL_TN,2001,0,0,4234071
AL_TN,2002,0,0,4234071
AL_TN,2003,0,0,4234071
AL_TN,2004,59109,0,4293180
AL_TN,2005,0,0,4293180
AL_TN,2006,0,0,4293180
AL_TN,2007,0,0,4293180
AL_TN,2008,0,0,4293180
AL_TN,2009,466650,0,4293180
AL_TN,2010,0,0,4293180
AL_TN,2011,0,0,4293180
AL_TN,2012,0,0,4293180
AL_TN,2013,0,0,4293180
AL_TN,2014,1140700,0,4293180
AL_TN,2015,388875,0,4293180
AL_TN,2016,357765,0,4293180
AL_TN,2017,832711,0,4293180
AL_TN,2018,0,0,4293180
AL_TN,2019,0,0,4293180
AL_TN,2020,0,0,4293180
AL_TN,2021,0,0,4293180
AL_TN,2022,0,0,4293180
AR_LA,1990,7709058,0,7709058
AR_LA,1991,0,0,7709058
AR_LA,1992,0,0,7709058
AR_LA,1993,0,0,7709058
AR_LA,1994,292434,0,8001492
AR_LA,1995,0,0,8001492
AR_LA,1996,0,0,8001492
AR_LA,1997,15555,0,8017047
AR_LA,1998,0,0,8017047
AR_LA,1999,0,0,8017047
AR_LA,2000,0,256139,7760908
AR_LA,2001,434503,0,8195411
AR_LA,2002,0,0,8195411
AR_LA,2003,0,0,8195411
AR_LA,2004,0,0,8195411
AR_LA,2005,0,0,8195411
AR_LA,2006,0,0,8195411
AR_LA,2007,0,0,8195411
AR_LA,2008,0,0,8195411
AR_LA,2009,0,0,8195411
AR_LA,2010,0,0,8195411
AR_LA,2011,0,0,8195411
AR_LA,2012,0,0,8195411
AR_LA,2013,0,0,8195411
AR_LA,2014,0,0,8195411
AR_LA,2015,777750,0,8195411
AR_LA,2016,786046,0,8195411
AR_LA,2017,2479467,0,8195411
AR_LA,2018,0,0,8195411
AR_LA,2019,0,0,8195411
AR_LA,2020,0,0,8195411
AR_LA,2021,0,0,8195411
