timepoint_id,timestamp,timeseries
2023010106,2023-01-01-06:00,20230101
2023010112,2023-01-01-12:00,20230101
2023010118,2023-01-01-18:00,20230101
2023010124,2023-01-01-24:00,20230101
2023010206,2023-01-02-06:00,20230102
2023010212,2023-01-02-12:00,20230102
2023010218,2023-01-02-18:00,20230102
2023010224,2023-01-02-24:00,20230102
2023010306,2023-01-03-06:00,20230103
2023010312,2023-01-03-12:00,20230103
2023010318,2023-01-03-18:00,20230103
2023010324,2023-01-03-24:00,20230103
2023010406,2023-01-04-06:00,20230104
2023010412,2023-01-04-12:00,20230104
2023010418,2023-01-04-18:00,20230104
2023010424,2023-01-04-24:00,20230104
2023010506,2023-01-05-06:00,20230105
2023010512,2023-01-05-12:00,20230105
2023010518,2023-01-05-18:00,20230105
2023010524,2023-01-05-24:00,20230105
2023010606,2023-01-06-06:00,20230106
2023010612,2023-01-06-12:00,20230106
2023010618,2023-01-06-18:00,20230106
2023010624,2023-01-06-24:00,20230106
2023010706,2023-01-07-06:00,20230107
2023010712,2023-01-07-12:00,20230107
2023010718,2023-01-07-18:00,20230107
2023010724,2023-01-07-24:00,20230107
2023010806,2023-01-08-06:00,20230108
2023010812,2023-01-08-12:00,20230108
2023010818,2023-01-08-18:00,20230108
2023010824,2023-01-08-24:00,20230108
2023010906,2023-01-09-06:00,20230109
2023010912,2023-01-09-12:00,20230109
2023010918,2023-01-09-18:00,20230109
2023010924,2023-01-09-24:00,20230109
2023011006,2023-01-10-06:00,20230110
2023011012,2023-01-10-12:00,20230110
2023011018,2023-01-10-18:00,20230110
2023011024,2023-01-10-24:00,20230110
2023011106,2023-01-11-06:00,20230111
2023011112,2023-01-11-12:00,20230111
2023011118,2023-01-11-18:00,20230111
2023011124,2023-01-11-24:00,20230111
2023011206,2023-01-12-06:00,20230112
2023011212,2023-01-12-12:00,20230112
2023011218,2023-01-12-18:00,20230112
2023011224,2023-01-12-24:00,20230112
2023011306,2023-01-13-06:00,20230113
2023011312,2023-01-13-12:00,20230113
2023011318,2023-01-13-18:00,20230113
2023011324,2023-01-13-24:00,20230113
2023011406,2023-01-14-06:00,20230114
2023011412,2023-01-14-12:00,20230114
2023011418,2023-01-14-18:00,20230114
2023011424,2023-01-14-24:00,20230114
2023011506,2023-01-15-06:00,20230115
2023011512,2023-01-15-12:00,20230115
2023011518,2023-01-15-18:00,20230115
2023011524,2023-01-15-24:00,20230115
2023011606,2023-01-16-06:00,20230116
2023011612,2023-01-16-12:00,20230116
2023011618,2023-01-16-18:00,20230116
2023011624,2023-01-16-24:00,20230116
2023011706,2023-01-17-06:00,20230117
2023011712,2023-01-17-12:00,20230117
2023011718,2023-01-17-18:00,20230117
2023011724,2023-01-17-24:00,20230117
2023011806,2023-01-18-06:00,20230118
2023011812,2023-01-18-12:00,20230118
2023011818,2023-01-18-18:00,20230118
2023011824,2023-01-18-24:00,20230118
2023011906,2023-01-19-06:00,20230119
2023011912,2023-01-19-12:00,20230119
2023011918,2023-01-19-18:00,20230119
2023011924,2023-01-19-24:00,20230119
2023012006,2023-01-20-06:00,20230120
2023012012,2023-01-20-12:00,20230120
2023012018,2023-01-20-18:00,20230120
2023012024,2023-01-20-24:00,20230120
2023012106,2023-01-21-06:00,20230121
2023012112,2023-01-21-12:00,20230121
2023012118,2023-01-21-18:00,20230121
2023012124,2023-01-21-24:00,20230121
2023012206,2023-01-22-06:00,20230122
2023012212,2023-01-22-12:00,20230122
2023012218,2023-01-22-18:00,20230122
2023012224,2023-01-22-24:00,20230122
2023012306,2023-01-23-06:00,20230123
2023012312,2023-01-23-12:00,20230123
2023012318,2023-01-23-18:00,20230123
2023012324,2023-01-23-24:00,20230123
2023012406,2023-01-24-06:00,20230124
2023012412,2023-01-24-12:00,20230124
2023012418,2023-01-24-18:00,20230124
2023012424,2023-01-24-24:00,20230124
2023012506,2023-01-25-06:00,20230125
2023012512,2023-01-25-12:00,20230125
2023012518,2023-01-25-18:00,20230125
2023012524,2023-01-25-24:00,20230125
2023012606,2023-01-26-06:00,20230126
2023012612,2023-01-26-12:00,20230126
2023012618,2023-01-26-18:00,20230126
2023012624,2023-01-26-24:00,20230126
2023012706,2023-01-27-06:00,20230127
2023012712,2023-01-27-12:00,20230127
2023012718,2023-01-27-18:00,20230127
2023012724,2023-01-27-24:00,20230127
2023012806,2023-01-28-06:00,20230128
2023012812,2023-01-28-12:00,20230128
2023012818,2023-01-28-18:00,20230128
2023012824,2023-01-28-24:00,20230128
2023012906,2023-01-29-06:00,20230129
2023012912,2023-01-29-12:00,20230129
2023012918,2023-01-29-18:00,20230129
2023012924,2023-01-29-24:00,20230129
2023013006,2023-01-30-06:00,20230130
2023013012,2023-01-30-12:00,20230130
2023013018,2023-01-30-18:00,20230130
2023013024,2023-01-30-24:00,20230130
2023013106,2023-01-31-06:00,20230131
2023013112,2023-01-31-12:00,20230131
2023013118,2023-01-31-18:00,20230131
2023013124,2023-01-31-24:00,20230131
2023020106,2023-02-01-06:00,20230201
2023020112,2023-02-01-12:00,20230201
2023020118,2023-02-01-18:00,20230201
2023020124,2023-02-01-24:00,20230201
2023020206,2023-02-02-06:00,20230202
2023020212,2023-02-02-12:00,20230202
2023020218,2023-02-02-18:00,20230202
2023020224,2023-02-02-24:00,20230202
2023020306,2023-02-03-06:00,20230203
2023020312,2023-02-03-12:00,20230203
2023020318,2023-02-03-18:00,20230203
2023020324,2023-02-03-24:00,20230203
2023020406,2023-02-04-06:00,20230204
2023020412,2023-02-04-12:00,20230204
2023020418,2023-02-04-18:00,20230204
2023020424,2023-02-04-24:00,20230204
2023020506,2023-02-05-06:00,20230205
2023020512,2023-02-05-12:00,20230205
2023020518,2023-02-05-18:00,20230205
2023020524,2023-02-05-24:00,20230205
2023020606,2023-02-06-06:00,20230206
2023020612,2023-02-06-12:00,20230206
2023020618,2023-02-06-18:00,20230206
2023020624,2023-02-06-24:00,20230206
2023020706,2023-02-07-06:00,20230207
2023020712,2023-02-07-12:00,20230207
2023020718,2023-02-07-18:00,20230207
2023020724,2023-02-07-24:00,20230207
2023020806,2023-02-08-06:00,20230208
2023020812,2023-02-08-12:00,20230208
2023020818,2023-02-08-18:00,20230208
2023020824,2023-02-08-24:00,20230208
2023020906,2023-02-09-06:00,20230209
2023020912,2023-02-09-12:00,20230209
2023020918,2023-02-09-18:00,20230209
2023020924,2023-02-09-24:00,20230209
2023021006,2023-02-10-06:00,20230210
2023021012,2023-02-10-12:00,20230210
2023021018,2023-02-10-18:00,20230210
2023021024,2023-02-10-24:00,20230210
2023021106,2023-02-11-06:00,20230211
2023021112,2023-02-11-12:00,20230211
2023021118,2023-02-11-18:00,20230211
2023021124,2023-02-11-24:00,20230211
2023021206,2023-02-12-06:00,20230212
2023021212,2023-02-12-12:00,20230212
2023021218,2023-02-12-18:00,20230212
2023021224,2023-02-12-24:00,20230212
2023021306,2023-02-13-06:00,20230213
2023021312,2023-02-13-12:00,20230213
2023021318,2023-02-13-18:00,20230213
2023021324,2023-02-13-24:00,20230213
2023021406,2023-02-14-06:00,20230214
2023021412,2023-02-14-12:00,20230214
2023021418,2023-02-14-18:00,20230214
