LNG_ROUTE,LNG_route_gz1,LNG_route_gz2,LNG_route_distance,LNG_flow_allowed,LNG_shipping_unit_cost_dmmbtukm,LNG_ship_efficiency
AL_AR,AL,AR,593.6576584,1,0.011,1
AL_AZ,AL,AZ,2334.062619,1,0.011,1
AL_CA,AL,CA,3000.740434,1,0.011,1
AL_CO,AL,CO,1803.143544,1,0.011,1
AL_CT,AL,CT,1548.01703,1,0.011,1
AL_DC,AL,DC,1095.204516,1,0.011,1
AL_DE,AL,DE,1228.0373,1,0.011,1
AL_FL,AL,FL,756.9661143,1,0.011,1
AL_GA,AL,GA,270.0678901,1,0.011,1
AL_IA,AL,IA,1138.635031,1,0.011,1
AL_ID,AL,ID,2752.189688,1,0.011,1
AL_IL,AL,IL,932.7910958,1,0.011,1
AL_IN,AL,IN,796.251292,1,0.011,1
AL_KS,AL,KS,1065.550615,1,0.011,1
AL_KY,AL,KY,553.474186,1,0.011,1
AL_LA,AL,LA,517.0974212,1,0.011,1
AL_MA,AL,MA,1699.638532,1,0.011,1
AL_MD,AL,MD,1124.99312,1,0.011,1
AL_ME,AL,ME,1934.600082,1,0.011,1
AL_MI,AL,MI,1120.400347,1,0.011,1
AL_MN,AL,MN,1478.653718,1,0.011,1
AL_MO,AL,MO,778.0612901,1,0.011,1
AL_MS,AL,MS,268.4348988,1,0.011,1
AL_MT,AL,MT,2580.23346,1,0.011,1
AL_NC,AL,NC,710.8387788,1,0.011,1
AL_ND,AL,ND,1915.724244,1,0.011,1
AL_NE,AL,NE,1304.368497,1,0.011,1
AL_NH,AL,NH,1747.422724,1,0.011,1
AL_NJ,AL,NJ,1373.320449,1,0.011,1
AL_NM,AL,NM,1819.338887,1,0.011,1
AL_NV,AL,NV,2712.65733,1,0.011,1
AL_NY,AL,NY,1427.889062,1,0.011,1
AL_OH,AL,OH,902.035467,1,0.011,1
AL_OK,AL,OK,970.204122,1,0.011,1
AL_OR,AL,OR,3334.913269,1,0.011,1
AL_PA,AL,PA,1199.632368,1,0.011,1
AL_RI,AL,RI,1663.253234,1,0.011,1
AL_SC,AL,SC,544.3600399,1,0.011,1
AL_SD,AL,SD,1621.239236,1,0.011,1
AL_TN,AL,TN,313.8528727,1,0.011,1
AL_TX,AL,TX,1029.168694,1,0.011,1
AL_UT,AL,UT,2382.266895,1,0.011,1
AL_VA,AL,VA,970.9551246,1,0.011,1
AL_VT,AL,VT,1726.106521,1,0.011,1
AL_WA,AL,WA,3328.568591,1,0.011,1
AL_WI,AL,WI,1208.96456,1,0.011,1
AL_WV,AL,WV,842.3715282,1,0.011,1
AL_WY,AL,WY,2074.678439,1,0.011,1
AR_AZ,AR,AZ,1775.659008,1,0.011,1
AR_CA,AR,CA,2419.97263,1,0.011,1
AR_CO,AR,CO,1211.318485,1,0.011,1
AR_CT,AR,CT,1861.919464,1,0.011,1
AR_DC,AR,DC,1449.875425,1,0.011,1
AR_DE,AR,DE,1583.330018,1,0.011,1
AR_FL,AR,FL,1323.506596,1,0.011,1
AR_GA,AR,GA,829.9362198,1,0.011,1
AR_IA,AR,IA,758.1826937,1,0.011,1
AR_ID,AR,ID,2169.998227,1,0.011,1
AR_IL,AR,IL,779.3028237,1,0.011,1
AR_IN,AR,IN,792.5536107,1,0.011,1
AR_KS,AR,KS,501.4390505,1,0.011,1
AR_KY,AR,KY,727.268645,1,0.011,1
AR_LA,AR,LA,503.3214455,1,0.011,1
AR_MA,AR,MA,2005.70834,1,0.011,1
AR_MD,AR,MD,1473.561425,1,0.011,1
AR_ME,AR,ME,2201.369006,1,0.011,1
AR_MI,AR,MI,1127.537554,1,0.011,1
AR_MN,AR,MN,1122.785153,1,0.011,1
AR_MO,AR,MO,367.5825415,1,0.011,1
AR_MS,AR,MS,401.8291529,1,0.011,1
AR_MT,AR,MT,2025.478379,1,0.011,1
AR_NC,AR,NC,1180.220781,1,0.011,1
AR_ND,AR,ND,1467.464758,1,0.011,1
AR_NE,AR,NE,785.4876725,1,0.011,1
AR_NH,AR,NH,2027.636607,1,0.011,1
AR_NJ,AR,NJ,1704.250941,1,0.011,1
AR_NM,AR,NM,1251.658312,1,0.011,1
AR_NV,AR,NV,2125.144376,1,0.011,1
AR_NY,AR,NY,1721.054696,1,0.011,1
AR_OH,AR,OH,1051.138043,1,0.011,1
AR_OK,AR,OK,382.5977306,1,0.011,1
AR_OR,AR,OR,2748.905393,1,0.011,1
AR_PA,AR,PA,1494.947136,1,0.011,1
AR_RI,AR,RI,1983.300997,1,0.011,1
AR_SC,AR,SC,1073.391449,1,0.011,1
AR_SD,AR,SD,1127.139478,1,0.011,1
AR_TN,AR,TN,576.0706697,1,0.011,1
AR_TX,AR,TX,644.7959905,1,0.011,1
AR_UT,AR,UT,1789.191307,1,0.011,1
AR_VA,AR,VA,1360.099258,1,0.011,1
AR_VT,AR,VT,1964.12622,1,0.011,1
AR_WA,AR,WA,2755.288278,1,0.011,1
AR_WI,AR,WI,1004.470383,1,0.011,1
AR_WV,AR,WV,1134.967525,1,0.011,1
AR_WY,AR,WY,1498.784095,1,0.011,1
AZ_CA,AZ,CA,727.5695506,1,0.011,1
AZ_CO,AZ,CO,907.0391788,1,0.011,1
AZ_CT,AZ,CT,3531.689197,1,0.011,1
AZ_DC,AZ,DC,3173.257761,1,0.011,1
AZ_DE,AZ,DE,3299.328952,1,0.011,1
AZ_FL,AZ,FL,2949.516069,1,0.011,1
AZ_GA,AZ,GA,2592.919883,1,0.011,1
AZ_IA,AZ,IA,1908.111493,1,0.011,1
AZ_ID,AZ,ID,1241.85033,1,0.011,1
AZ_IL,AZ,IL,2248.792013,1,0.011,1
AZ_IN,AZ,IN,2395.399723,1,0.011,1
AZ_KS,AZ,KS,1498.224203,1,0.011,1
AZ_KY,AZ,KY,2451.450644,1,0.011,1
AZ_LA,AZ,LA,1939.311067,1,0.011,1
AZ_MA,AZ,MA,3659.477135,1,0.011,1
AZ_MD,AZ,MD,3192.122844,1,0.011,1
AZ_ME,AZ,ME,3803.740492,1,0.011,1
AZ_MI,AZ,MI,2627.222009,1,0.011,1
AZ_MN,AZ,MN,2045.399022,1,0.011,1
AZ_MO,AZ,MO,1856.12524,1,0.011,1
AZ_MS,AZ,MS,2078.940194,1,0.011,1
AZ_MT,AZ,MT,1494.527146,1,0.011,1
AZ_NC,AZ,NC,2953.073684,1,0.011,1
AZ_ND,AZ,ND,1880.02744,1,0.011,1
AZ_NE,AZ,NE,1550.991814,1,0.011,1
AZ_NH,AZ,NH,3656.188807,1,0.011,1
AZ_NJ,AZ,NJ,3397.108485,1,0.011,1
AZ_NM,AZ,NM,527.1210949,1,0.011,1
AZ_NV,AZ,NV,569.4899528,1,0.011,1
AZ_NY,AZ,NY,3384.318564,1,0.011,1
AZ_OH,AZ,OH,2693.721158,1,0.011,1
AZ_OK,AZ,OK,1399.998891,1,0.011,1
AZ_OR,AZ,OR,1565.979752,1,0.011,1
AZ_PA,AZ,PA,3178.492267,1,0.011,1
AZ_RI,AZ,RI,3650.511699,1,0.011,1
AZ_SC,AZ,SC,2847.237506,1,0.011,1
AZ_SD,AZ,SD,1624.794973,1,0.011,1
AZ_TN,AZ,TN,2347.082155,1,0.011,1
AZ_TX,AZ,TX,1392.302129,1,0.011,1
AZ_UT,AZ,UT,782.9700025,1,0.011,1
AZ_VA,AZ,VA,3104.865779,1,0.011,1
AZ_VT,AZ,VT,3556.329656,1,0.011,1
AZ_WA,AZ,WA,1757.663641,1,0.011,1
AZ_WI,AZ,WI,2286.847435,1,0.011,1
AZ_WV,AZ,WV,2850.989639,1,0.011,1
AZ_WY,AZ,WY,1121.343923,1,0.011,1
CA_CO,CA,CO,1328.331714,1,0.011,1
CA_CT,CA,CT,4058.234401,1,0.011,1
CA_DC,CA,DC,3742.358864,1,0.011,1
CA_DE,CA,DE,3860.472098,1,0.011,1
CA_FL,CA,FL,3651.442357,1,0.011,1
CA_GA,CA,GA,3249.287872,1,0.011,1
CA_IA,CA,IA,2387.677973,1,0.011,1
CA_ID,CA,ID,1037.330566,1,0.011,1
CA_IL,CA,IL,2765.342222,1,0.011,1
CA_IN,CA,IN,2941.282082,1,0.011,1
CA_KS,CA,KS,2060.028143,1,0.011,1
CA_KY,CA,KY,3042.666649,1,0.011,1
CA_LA,CA,LA,2641.694587,1,0.011,1
CA_MA,CA,MA,4173.293683,1,0.011,1
CA_MD,CA,MD,3757.529888,1,0.011,1
CA_ME,CA,ME,4285.086154,1,0.011,1
CA_MI,CA,MI,3119.762711,1,0.011,1
CA_MN,CA,MN,2428.199853,1,0.011,1
CA_MO,CA,MO,2430.790457,1,0.011,1
CA_MS,CA,MS,2756.706338,1,0.011,1
CA_MT,CA,MT,1428.472846,1,0.011,1
CA_NC,CA,NC,3573.973816,1,0.011,1
CA_ND,CA,ND,2122.972026,1,0.011,1
CA_NE,CA,NE,2021.832359,1,0.011,1
CA_NH,CA,NH,4156.041997,1,0.011,1
CA_NJ,CA,NJ,3941.020638,1,0.011,1
CA_NM,CA,NM,1188.616122,1,0.011,1
CA_NV,CA,NV,332.7244613,1,0.011,1
CA_NY,CA,NY,3911.346439,1,0.011,1
CA_OH,CA,OH,3237.111411,1,0.011,1
CA_OK,CA,OK,2037.377574,1,0.011,1
CA_OR,CA,OR,1068.301982,1,0.011,1
CA_PA,CA,PA,3723.048743,1,0.011,1
CA_RI,CA,RI,4172.411478,1,0.011,1
CA_SC,CA,SC,3490.07421,1,0.011,1
CA_SD,CA,SD,1978.468069,1,0.011,1
CA_TN,CA,TN,2973.274446,1,0.011,1
CA_TX,CA,TX,2106.750904,1,0.011,1
CA_UT,CA,UT,853.7918933,1,0.011,1
CA_VA,CA,VA,3691.286566,1,0.011,1
CA_VT,CA,VT,4040.488566,1,0.011,1
CA_WA,CA,WA,1334.149703,1,0.011,1
CA_WI,CA,WI,2742.099468,1,0.011,1
CA_WV,CA,WV,3424.077366,1,0.011,1
CA_WY,CA,WY,1334.344692,1,0.011,1
CO_CT,CO,CT,2729.910196,1,0.011,1
CO_DC,CO,DC,2422.432171,1,0.011,1
CO_DE,CO,DE,2537.42625,1,0.011,1
CO_FL,CO,FL,2529.235648,1,0.011,1
CO_GA,CO,GA,2021.458546,1,0.011,1
CO_IA,CO,IA,1060.347608,1,0.011,1
CO_ID,CO,ID,979.4626335,1,0.011,1
CO_IL,CO,IL,1437.475568,1,0.011,1
CO_IN,CO,IN,1618.184873,1,0.011,1
CO_KS,CO,KS,765.6633427,1,0.011,1
CO_KY,CO,KY,1741.423648,1,0.011,1
CO_LA,CO,LA,1581.496685,1,0.011,1
CO_MA,CO,MA,2845.45222,1,0.011,1
CO_MD,CO,MD,2436.220292,1,0.011,1
CO_ME,CO,ME,2963.091734,1,0.011,1
CO_MI,CO,MI,1792.83803,1,0.011,1
CO_MN,CO,MN,1145.440016,1,0.011,1
CO_MO,CO,MO,1130.956599,1,0.011,1
CO_MS,CO,MS,1600.309811,1,0.011,1
CO_MT,CO,MT,948.809754,1,0.011,1
CO_NC,CO,NC,2290.092514,1,0.011,1
CO_ND,CO,ND,992.7334408,1,0.011,1
CO_NE,CO,NE,693.9699742,1,0.011,1
CO_NH,CO,NH,2829.857622,1,0.011,1
CO_NJ,CO,NJ,2614.088679,1,0.011,1
CO_NM,CO,NM,552.96532,1,0.011,1
CO_NV,CO,NV,1000.743645,1,0.011,1
CO_NY,CO,NY,2583.056078,1,0.011,1
CO_OH,CO,OH,1911.856429,1,0.011,1
CO_OK,CO,OK,857.1605082,1,0.011,1
CO_OR,CO,OR,1544.363959,1,0.011,1
CO_PA,CO,PA,2396.617694,1,0.011,1
CO_RI,CO,RI,2844.138767,1,0.011,1
CO_SC,CO,SC,2234.141071,1,0.011,1
CO_SD,CO,SD,717.7796964,1,0.011,1
CO_TN,CO,TN,1708.245418,1,0.011,1
CO_TX,CO,TX,1192.99567,1,0.011,1
CO_UT,CO,UT,581.5514734,1,0.011,1
CO_VA,CO,VA,2379.646875,1,0.011,1
CO_VT,CO,VT,2717.268336,1,0.011,1
CO_WA,CO,WA,1582.090509,1,0.011,1
CO_WI,CO,WI,1422.515807,1,0.011,1
CO_WV,CO,WV,2107.730977,1,0.011,1
CO_WY,CO,WY,385.867399,1,0.011,1
CT_DC,CT,DC,455.0098199,1,0.011,1
CT_DE,CT,DE,329.4149737,1,0.011,1
CT_FL,CT,FL,1719.175902,1,0.011,1
CT_GA,CT,GA,1326.770654,1,0.011,1
CT_IA,CT,IA,1672.810119,1,0.011,1
CT_ID,CT,ID,3429.53438,1,0.011,1
CT_IL,CT,IL,1293.9745,1,0.011,1
CT_IN,CT,IN,1136.631835,1,0.011,1
CT_KS,CT,KS,2033.500454,1,0.011,1
CT_KY,CT,KY,1135.24287,1,0.011,1
CT_LA,CT,LA,2054.466517,1,0.011,1
CT_MA,CT,MA,151.7088258,1,0.011,1
CT_MD,CT,MD,424.2744543,1,0.011,1
CT_ME,CT,ME,403.3191314,1,0.011,1
CT_MI,CT,MI,947.3421061,1,0.011,1
CT_MN,CT,MN,1721.114719,1,0.011,1
CT_MO,CT,MO,1680.893804,1,0.011,1
CT_MS,CT,MS,1780.369409,1,0.011,1
CT_MT,CT,MT,3094.816906,1,0.011,1
CT_NC,CT,NC,887.6384233,1,0.011,1
