GAS_ZONES,DRILL_TYPE,well_capital_cost,percentage_drill_type
MD,D,810479.112089607,0.00162758041134507
PA,D,810479.112089607,0.00200217755558257
MI,D,810479.112089607,0.00162758041134507
MI,H,3784775.53524557,99.041186033735
NY,H,4092168.22959819,49.3447841379545
KY,H,3784775.53524557,69.9423213001669
MD,H,3784775.53524557,99.041186033735
VA,H,3784775.53524557,36.5333939750147
PA,H,3701801.21918419,99.3301735403537
WV,H,4148731.29736397,98.7891918473086
KY,V,508016.75660947,30.0576786998331
OH,V,508016.75660947,100
MD,V,508016.75660947,0.957186385853669
WV,V,461053.531163528,1.21080815269144
TN,V,508016.75660947,100
VA,V,508016.75660947,63.4666060249853
MI,V,508016.75660947,0.957186385853669
NY,V,508016.75660947,50.6552158620455
PA,V,537069.164806992,0.667824282090694
AL,D,1524505.32324066,99.6608673795564
FL,D,1524505.32324066,7.79024540540468
MS,D,1524505.32324066,4.68078359851405
TX,D,1457562.95822974,2.27545591517236
FL,H,4682400.3530892,80.0491389335801
MS,H,3386420.88333685,56.3607655943165
TX,H,4187347.75010003,91.2197869123194
AL,V,1294262.02549945,0.33913262044358
MS,V,1089299.23657805,38.9584508071695
TX,V,1158117.33670039,6.50475717250821
FL,V,1294262.02549945,12.1606156610153
LA,D,4423239.85577183,2.50513570626464
LA,H,5043396.18624385,94.9117714389485
LA,V,1284777.83733123,2.58309285478687
KS,D,3110967.86411782,43.9007264170646
OK,D,1942248.88081469,1.1480205688313
IL,D,1922808.0428021,1.5368777283728
AR,D,1510993.39313532,0.0877067563426721
IN,D,1922808.0428021,1.5368777283728
IL,H,4005740.27169187,92.4996947504027
IN,H,4005740.27169187,92.4996947504027
KS,H,4005653.99686551,0.361201869786358
AR,H,3385840.36768716,97.2040519635085
OK,H,4556852.40911769,94.6267979456536
AR,V,1718354.9887496,2.70824128014881
IL,V,1265871.76403183,5.96342752122454
KS,V,887629.624497148,55.7380717131491
IN,V,1265871.76403183,5.96342752122454
OK,V,1196018.77030047,4.2251814855151
CO,D,2046635.38040749,74.9799205707219
AZ,D,2197511.04018828,74.1283128750345
OR,D,2197511.04018828,74.1283128750345
CA,D,2197511.04018828,74.1283128750345
MT,D,2197511.04018828,0.760288679175584
UT,D,2197511.04018828,63.703221531787
NM,D,1589446.857439,4.1418501520002
ID,D,2197511.04018828,74.1283128750345
WY,D,2864404.69223112,82.943521937316
MT,H,1284430.56118091,5.80515889592789
AZ,H,3751834.09556212,15.1254545170967
ID,H,3751834.09556212,15.1254545170967
CO,H,4213276.81748285,23.9992022318541
NM,H,4585597.10048054,80.4824724672715
OR,H,3751834.09556212,15.1254545170967
CA,H,3751834.09556212,15.1254545170967
UT,H,4617411.66853148,4.41843979071997
WY,H,3600484.63023983,6.82868357904013
ID,V,1190133.65330335,10.7462326078688
NM,V,1230039.86503925,15.3756773807283
CA,V,1190133.65330335,10.7462326078688
AZ,V,1190133.65330335,10.7462326078688
UT,V,1190133.65330335,31.878338677493
WY,V,1909948.11889184,10.2277944836439
MT,V,1096177.40852559,93.4345524248965
CO,V,617092.172790117,1.02087719742403
OR,V,1190133.65330335,10.7462326078688
ND,V,325300.526521061,100
SD,V,248784.771856295,100
