TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
20230101,2023,6,4,1
20230102,2023,6,4,1
20230103,2023,6,4,1
20230104,2023,6,4,1
20230105,2023,6,4,1
20230106,2023,6,4,1
20230107,2023,6,4,1
20230108,2023,6,4,1
20230109,2023,6,4,1
20230110,2023,6,4,1
20230111,2023,6,4,1
20230112,2023,6,4,1
20230113,2023,6,4,1
20230114,2023,6,4,1
20230115,2023,6,4,1
20230116,2023,6,4,1
20230117,2023,6,4,1
20230118,2023,6,4,1
20230119,2023,6,4,1
20230120,2023,6,4,1
20230121,2023,6,4,1
20230122,2023,6,4,1
20230123,2023,6,4,1
20230124,2023,6,4,1
20230125,2023,6,4,1
20230126,2023,6,4,1
20230127,2023,6,4,1
20230128,2023,6,4,1
20230129,2023,6,4,1
20230130,2023,6,4,1
20230131,2023,6,4,1
20230201,2023,6,4,1
20230202,2023,6,4,1
20230203,2023,6,4,1
20230204,2023,6,4,1
20230205,2023,6,4,1
20230206,2023,6,4,1
20230207,2023,6,4,1
20230208,2023,6,4,1
20230209,2023,6,4,1
20230210,2023,6,4,1
20230211,2023,6,4,1
20230212,2023,6,4,1
20230213,2023,6,4,1
20230214,2023,6,4,1
20230215,2023,6,4,1
20230216,2023,6,4,1
20230217,2023,6,4,1
20230218,2023,6,4,1
20230219,2023,6,4,1
20230220,2023,6,4,1
20230221,2023,6,4,1
20230222,2023,6,4,1
20230223,2023,6,4,1
20230224,2023,6,4,1
20230225,2023,6,4,1
20230226,2023,6,4,1
20230227,2023,6,4,1
20230228,2023,6,4,1
20230301,2023,6,4,1
20230302,2023,6,4,1
20230303,2023,6,4,1
20230304,2023,6,4,1
20230305,2023,6,4,1
20230306,2023,6,4,1
20230307,2023,6,4,1
20230308,2023,6,4,1
20230309,2023,6,4,1
20230310,2023,6,4,1
20230311,2023,6,4,1
20230312,2023,6,4,1
20230313,2023,6,4,1
20230314,2023,6,4,1
20230315,2023,6,4,1
20230316,2023,6,4,1
20230317,2023,6,4,1
20230318,2023,6,4,1
20230319,2023,6,4,1
20230320,2023,6,4,1
20230321,2023,6,4,1
20230322,2023,6,4,1
20230323,2023,6,4,1
20230324,2023,6,4,1
20230325,2023,6,4,1
20230326,2023,6,4,1
20230327,2023,6,4,1
20230328,2023,6,4,1
20230329,2023,6,4,1
20230330,2023,6,4,1
20230331,2023,6,4,1
20230401,2023,6,4,1
20230402,2023,6,4,1
20230403,2023,6,4,1
20230404,2023,6,4,1
20230405,2023,6,4,1
20230406,2023,6,4,1
20230407,2023,6,4,1
20230408,2023,6,4,1
20230409,2023,6,4,1
20230410,2023,6,4,1
20230411,2023,6,4,1
20230412,2023,6,4,1
20230413,2023,6,4,1
20230414,2023,6,4,1
20230415,2023,6,4,1
20230416,2023,6,4,1
20230417,2023,6,4,1
20230418,2023,6,4,1
20230419,2023,6,4,1
20230420,2023,6,4,1
20230421,2023,6,4,1
20230422,2023,6,4,1
20230423,2023,6,4,1
20230424,2023,6,4,1
20230425,2023,6,4,1
20230426,2023,6,4,1
20230427,2023,6,4,1
20230428,2023,6,4,1
20230429,2023,6,4,1
20230430,2023,6,4,1
20230501,2023,6,4,1
20230502,2023,6,4,1
20230503,2023,6,4,1
20230504,2023,6,4,1
20230505,2023,6,4,1
