BLD_YRS_FOR_GAS_D_LINE_1,BLD_YRS_FOR_GAS_D_LINE_2,BLD_YRS_FOR_GAS_D_LINE_3,BuildDirectionalGl
AL,FL,1990,1021445.0
AL,FL,1994,124440.0
AL,FL,1995,554795.0
AL,FL,1996,0.0
AL,FL,1997,0.0
AL,FL,1998,25925.0
AL,FL,1999,0.0
AL,FL,2000,0.0
AL,FL,2001,207400.0
AL,FL,2002,1480836.0
AL,FL,2003,260287.0
AL,FL,2004,0.0
AL,FL,2005,0.0
AL,FL,2006,0.0
AL,FL,2007,0.0
AL,FL,2008,160735.0
AL,FL,2009,0.0
AL,FL,2010,49776.0
AL,FL,2011,1014186.0
AL,FL,2012,41480.0
AL,FL,2013,0.0
AL,FL,2014,0.0
AL,FL,2015,0.0
AL,FL,2016,0.0
AL,FL,2017,0.0
AL,FL,2018,69479.0
AL,FL,2019,0.0
AL,FL,2020,0.0
AL,FL,2021,0.0
AL,FL,2022,29036.0
AL,GA,1990,5052264.0
AL,GA,1994,90219.0
AL,GA,1995,119255.0
AL,GA,1996,57035.0
AL,GA,1997,150365.0
AL,GA,1998,157624.0
AL,GA,1999,0.0
AL,GA,2000,207400.0
AL,GA,2001,17629.0
AL,GA,2002,487390.0
AL,GA,2003,674050.0
AL,GA,2004,198067.0
AL,GA,2005,0.0
AL,GA,2006,0.0
AL,GA,2007,0.0
AL,GA,2008,0.0
AL,GA,2009,0.0
AL,GA,2010,129625.0
AL,GA,2011,227103.0
AL,GA,2012,228140.0
AL,GA,2013,0.0
AL,GA,2014,0.0
AL,GA,2015,0.0
AL,GA,2016,0.0
AL,GA,2017,860710.0
AL,GA,2018,0.0
AL,GA,2019,0.0
AL,GA,2020,230214.0
AL,GA,2021,306952.0
AL,GA,2022,0.0
AL,MS,1990,155550.0
AL,MS,1994,51850.0
AL,MS,1995,0.0
AL,MS,1996,0.0
AL,MS,1997,0.0
AL,MS,1998,0.0
AL,MS,1999,0.0
AL,MS,2000,0.0
AL,MS,2001,0.0
AL,MS,2002,0.0
AL,MS,2003,0.0
AL,MS,2004,0.0
AL,MS,2005,0.0
AL,MS,2006,0.0
AL,MS,2007,0.0
AL,MS,2008,0.0
AL,MS,2009,985150.0
AL,MS,2010,0.0
AL,MS,2011,0.0
AL,MS,2012,0.0
AL,MS,2013,0.0
AL,MS,2014,1140700.0
AL,MS,2015,388875.0
AL,MS,2016,357765.0
AL,MS,2017,518500.0
AL,MS,2018,0.0
AL,MS,2019,0.0
AL,MS,2020,77775.0
AL,MS,2021,0.0
AL,MS,2022,0.0
AL,TN,1990,3887713.0
AL,TN,1994,346358.0
AL,TN,1995,0.0
AL,TN,1996,0.0
AL,TN,1997,0.0
AL,TN,1998,0.0
AL,TN,1999,0.0
AL,TN,2000,0.0
AL,TN,2001,0.0
AL,TN,2002,0.0
AL,TN,2003,0.0
AL,TN,2004,59109.0
AL,TN,2005,0.0
AL,TN,2006,0.0
AL,TN,2007,0.0
AL,TN,2008,0.0
AL,TN,2009,0.0
AL,TN,2010,0.0
AL,TN,2011,0.0
AL,TN,2012,0.0
AL,TN,2013,0.0
AL,TN,2014,0.0
AL,TN,2015,0.0
AL,TN,2016,0.0
AL,TN,2017,0.0
AL,TN,2018,0.0
AL,TN,2019,0.0
AL,TN,2020,0.0
AL,TN,2021,0.0
AL,TN,2022,0.0
AR,LA,1990,732122.0
AR,LA,1994,0.0
AR,LA,1995,0.0
AR,LA,1996,0.0
AR,LA,1997,0.0
AR,LA,1998,0.0
AR,LA,1999,0.0
AR,LA,2000,0.0
AR,LA,2001,0.0
AR,LA,2002,0.0
AR,LA,2003,0.0
AR,LA,2004,0.0
AR,LA,2005,0.0
AR,LA,2006,0.0
AR,LA,2007,0.0
AR,LA,2008,0.0
AR,LA,2009,0.0
AR,LA,2010,0.0
AR,LA,2011,0.0
AR,LA,2012,0.0
AR,LA,2013,0.0
AR,LA,2014,0.0
AR,LA,2015,777750.0
AR,LA,2016,786046.0
AR,LA,2017,2479467.0
AR,LA,2018,0.0
AR,LA,2019,0.0
AR,LA,2020,0.0
AR,LA,2021,0.0
AR,LA,2022,171105.0
AR,MO,1990,2915007.0
AR,MO,1994,0.0
AR,MO,1995,0.0
AR,MO,1996,2074.0
AR,MO,1997,0.0
AR,MO,1998,0.0
AR,MO,1999,0.0
