BLD_YRS_FOR_GAS_LINE_1,BLD_YRS_FOR_GAS_LINE_2,BuildGl
AL_FL,1990,1021445.0
AL_FL,1991,0.0
AL_FL,1992,0.0
AL_FL,1993,0.0
AL_FL,1994,124440.0
AL_FL,1995,554795.0
AL_FL,1996,0.0
AL_FL,1997,0.0
AL_FL,1998,25925.0
AL_FL,1999,0.0
AL_FL,2000,0.0
AL_FL,2001,207400.0
AL_FL,2002,1480836.0
AL_FL,2003,260287.0
AL_FL,2004,0.0
AL_FL,2005,0.0
AL_FL,2006,0.0
AL_FL,2007,0.0
AL_FL,2008,160735.0
AL_FL,2009,0.0
AL_FL,2010,49776.0
AL_FL,2011,1014186.0
AL_FL,2012,41480.0
AL_FL,2013,0.0
AL_FL,2014,0.0
AL_FL,2015,0.0
AL_FL,2016,0.0
AL_FL,2017,0.0
AL_FL,2018,69479.0
AL_FL,2019,0.0
AL_FL,2020,0.0
AL_FL,2021,0.0
AL_FL,2022,29036.0
AL_GA,1990,5052264.0
AL_GA,1991,0.0
AL_GA,1992,0.0
AL_GA,1993,0.0
AL_GA,1994,90219.0
AL_GA,1995,119255.0
AL_GA,1996,57035.0
AL_GA,1997,150365.0
AL_GA,1998,157624.0
AL_GA,1999,0.0
AL_GA,2000,207400.0
AL_GA,2001,17629.0
AL_GA,2002,487390.0
AL_GA,2003,674050.0
AL_GA,2004,198067.0
AL_GA,2005,0.0
AL_GA,2006,0.0
AL_GA,2007,0.0
AL_GA,2008,0.0
AL_GA,2009,0.0
AL_GA,2010,129625.0
AL_GA,2011,227103.0
AL_GA,2012,228140.0
AL_GA,2013,0.0
AL_GA,2014,0.0
AL_GA,2015,544425.0
AL_GA,2016,0.0
AL_GA,2017,860710.0
AL_GA,2018,751825.0
AL_GA,2019,0.0
AL_GA,2020,230214.0
AL_GA,2021,306952.0
AL_GA,2022,0.0
AL_MS,1990,11289819.0
AL_MS,1991,0.0
AL_MS,1992,0.0
AL_MS,1993,0.0
AL_MS,1994,573461.0
AL_MS,1995,496723.0
AL_MS,1996,57035.0
AL_MS,1997,150365.0
AL_MS,1998,0.0
AL_MS,1999,0.0
AL_MS,2000,0.0
AL_MS,2001,82960.0
AL_MS,2002,692716.0
AL_MS,2003,910486.0
AL_MS,2004,173179.0
AL_MS,2005,0.0
AL_MS,2006,0.0
AL_MS,2007,0.0
AL_MS,2008,3678239.0
AL_MS,2009,1589721.0
AL_MS,2010,0.0
AL_MS,2011,129625.0
AL_MS,2012,129625.0
AL_MS,2013,0.0
AL_MS,2014,1140700.0
AL_MS,2015,388875.0
AL_MS,2016,357765.0
AL_MS,2017,518500.0
AL_MS,2018,71553.0
AL_MS,2019,0.0
AL_MS,2020,77775.0
AL_MS,2021,306952.0
AL_MS,2022,285175.0
AL_TN,1990,3887713.0
AL_TN,1991,0.0
AL_TN,1992,0.0
AL_TN,1993,0.0
AL_TN,1994,346358.0
AL_TN,1995,0.0
AL_TN,1996,0.0
AL_TN,1997,0.0
AL_TN,1998,21777.0
AL_TN,1999,0.0
AL_TN,2000,0.0
AL_TN,2001,0.0
AL_TN,2002,0.0
AL_TN,2003,0.0
AL_TN,2004,59109.0
AL_TN,2005,0.0
AL_TN,2006,0.0
AL_TN,2007,0.0
AL_TN,2008,0.0
AL_TN,2009,466650.0
AL_TN,2010,0.0
AL_TN,2011,0.0
AL_TN,2012,0.0
AL_TN,2013,0.0
AL_TN,2014,1140700.0
AL_TN,2015,388875.0
AL_TN,2016,357765.0
AL_TN,2017,832711.0
AL_TN,2018,0.0
AL_TN,2019,0.0
AL_TN,2020,0.0
AL_TN,2021,0.0
AL_TN,2022,0.0
AR_LA,1990,7709058.0
AR_LA,1991,0.0
AR_LA,1992,0.0
AR_LA,1993,0.0
AR_LA,1994,292434.0
AR_LA,1995,0.0
AR_LA,1996,0.0
AR_LA,1997,15555.0
AR_LA,1998,0.0
AR_LA,1999,0.0
AR_LA,2000,0.0
AR_LA,2001,434503.0
AR_LA,2002,0.0
AR_LA,2003,0.0
AR_LA,2004,0.0
AR_LA,2005,0.0
AR_LA,2006,0.0
AR_LA,2007,0.0
AR_LA,2008,0.0
AR_LA,2009,0.0
AR_LA,2010,0.0
AR_LA,2011,0.0
AR_LA,2012,0.0
AR_LA,2013,0.0
AR_LA,2014,0.0
AR_LA,2015,777750.0
AR_LA,2016,786046.0
AR_LA,2017,2479467.0
AR_LA,2018,0.0
AR_LA,2019,0.0
AR_LA,2020,0.0
AR_LA,2021,0.0
AR_LA,2022,171105.0
AR_MO,1990,2915007.0
AR_MO,1991,0.0
AR_MO,1992,0.0
AR_MO,1993,0.0
AR_MO,1994,0.0
AR_MO,1995,0.0
AR_MO,1996,2074.0
AR_MO,1997,0.0
AR_MO,1998,0.0
AR_MO,1999,0.0
AR_MO,2000,0.0
AR_MO,2001,0.0
AR_MO,2002,0.0
AR_MO,2003,0.0
AR_MO,2004,0.0
AR_MO,2005,0.0
AR_MO,2006,0.0
AR_MO,2007,0.0
AR_MO,2008,0.0
AR_MO,2009,0.0
AR_MO,2010,0.0
AR_MO,2011,0.0
AR_MO,2012,0.0
AR_MO,2013,0.0
AR_MO,2014,0.0
AR_MO,2015,0.0
AR_MO,2016,0.0
AR_MO,2017,0.0
AR_MO,2018,477020.0
AR_MO,2019,0.0
AR_MO,2020,0.0
AR_MO,2021,311100.0
AR_MO,2022,0.0
AR_MS,1990,8822796.0
AR_MS,1991,0.0
AR_MS,1992,0.0
AR_MS,1993,0.0
AR_MS,1994,198067.0
AR_MS,1995,0.0
AR_MS,1996,0.0
AR_MS,1997,0.0
AR_MS,1998,0.0
AR_MS,1999,0.0
AR_MS,2000,0.0
AR_MS,2001,0.0
AR_MS,2002,0.0
AR_MS,2003,0.0
AR_MS,2004,0.0
AR_MS,2005,0.0
AR_MS,2006,0.0
AR_MS,2007,0.0
AR_MS,2008,0.0
AR_MS,2009,1002779.0
AR_MS,2010,2074000.0
AR_MS,2011,0.0
AR_MS,2012,0.0
AR_MS,2013,0.0
AR_MS,2014,0.0
AR_MS,2015,777750.0
AR_MS,2016,786046.0
AR_MS,2017,2479467.0
AR_MS,2018,0.0
AR_MS,2019,0.0
AR_MS,2020,0.0
AR_MS,2021,0.0
AR_MS,2022,171105.0
AR_OK,1990,1910154.0
AR_OK,1991,0.0
AR_OK,1992,0.0
AR_OK,1993,0.0
AR_OK,1994,0.0
AR_OK,1995,0.0
AR_OK,1996,0.0
AR_OK,1997,0.0
AR_OK,1998,0.0
AR_OK,1999,165920.0
AR_OK,2000,0.0
AR_OK,2001,0.0
AR_OK,2002,0.0
AR_OK,2003,0.0
AR_OK,2004,0.0
AR_OK,2005,0.0
AR_OK,2006,25925.0
AR_OK,2007,0.0
AR_OK,2008,0.0
AR_OK,2009,136884.0
AR_OK,2010,0.0
AR_OK,2011,0.0
AR_OK,2012,0.0
AR_OK,2013,0.0
AR_OK,2014,0.0
AR_OK,2015,0.0
AR_OK,2016,0.0
AR_OK,2017,0.0
AR_OK,2018,0.0
AR_OK,2019,0.0
AR_OK,2020,0.0
AR_OK,2021,0.0
AR_OK,2022,0.0
AR_TN,1990,25925.0
AR_TN,1991,0.0
AR_TN,1992,0.0
AR_TN,1993,0.0
AR_TN,1994,0.0
AR_TN,1995,0.0
AR_TN,1996,0.0
AR_TN,1997,0.0
AR_TN,1998,0.0
AR_TN,1999,0.0
AR_TN,2000,0.0
AR_TN,2001,0.0
AR_TN,2002,0.0
AR_TN,2003,0.0
AR_TN,2004,0.0
AR_TN,2005,0.0
AR_TN,2006,0.0
AR_TN,2007,0.0
AR_TN,2008,0.0
AR_TN,2009,0.0
AR_TN,2010,0.0
AR_TN,2011,0.0
AR_TN,2012,0.0
AR_TN,2013,0.0
AR_TN,2014,0.0
AR_TN,2015,0.0
AR_TN,2016,0.0
AR_TN,2017,0.0
AR_TN,2018,0.0
AR_TN,2019,0.0
AR_TN,2020,0.0
AR_TN,2021,0.0
AR_TN,2022,0.0
AR_TX,1990,1919487.0
AR_TX,1991,0.0
AR_TX,1992,0.0
AR_TX,1993,0.0
AR_TX,1994,229177.0
AR_TX,1995,0.0
AR_TX,1996,0.0
AR_TX,1997,0.0
AR_TX,1998,0.0
AR_TX,1999,0.0
AR_TX,2000,0.0
AR_TX,2001,0.0
AR_TX,2002,0.0
AR_TX,2003,0.0
AR_TX,2004,0.0
AR_TX,2005,0.0
AR_TX,2006,0.0
AR_TX,2007,0.0
AR_TX,2008,0.0
AR_TX,2009,0.0
AR_TX,2010,0.0
AR_TX,2011,116144.0
AR_TX,2012,0.0
AR_TX,2013,0.0
AR_TX,2014,0.0
AR_TX,2015,0.0
AR_TX,2016,0.0
AR_TX,2017,0.0
AR_TX,2018,477020.0
AR_TX,2019,0.0
AR_TX,2020,0.0
AR_TX,2021,311100.0
AR_TX,2022,0.0
AZ_CA,1990,3608760.0
AZ_CA,1991,0.0
AZ_CA,1992,0.0
AZ_CA,1993,0.0
AZ_CA,1994,1394765.0
AZ_CA,1995,0.0
AZ_CA,1996,0.0
AZ_CA,1997,0.0
AZ_CA,1998,0.0
AZ_CA,1999,0.0
AZ_CA,2000,0.0
AZ_CA,2001,0.0
AZ_CA,2002,964410.0
AZ_CA,2003,0.0
AZ_CA,2004,0.0
AZ_CA,2005,520574.0
AZ_CA,2006,0.0
AZ_CA,2007,636718.0
AZ_CA,2008,0.0
AZ_CA,2009,0.0
AZ_CA,2010,83997.0
AZ_CA,2011,0.0
AZ_CA,2012,0.0
AZ_CA,2013,0.0
AZ_CA,2014,0.0
AZ_CA,2015,0.0
AZ_CA,2016,0.0
AZ_CA,2017,0.0
AZ_CA,2018,188734.0
AZ_CA,2019,0.0
AZ_CA,2020,342210.0
AZ_CA,2021,0.0
AZ_CA,2022,513315.0
AZ_CO,1990,0.0
AZ_CO,1991,0.0
AZ_CO,1992,0.0
AZ_CO,1993,0.0
AZ_CO,1994,0.0
AZ_CO,1995,0.0
AZ_CO,1996,0.0
AZ_CO,1997,0.0
AZ_CO,1998,0.0
AZ_CO,1999,0.0
AZ_CO,2000,0.0
AZ_CO,2001,0.0
AZ_CO,2002,0.0
AZ_CO,2003,0.0
AZ_CO,2004,0.0
AZ_CO,2005,0.0
AZ_CO,2006,0.0
AZ_CO,2007,0.0
AZ_CO,2008,0.0
AZ_CO,2009,0.0
AZ_CO,2010,0.0
AZ_CO,2011,0.0
AZ_CO,2012,0.0
AZ_CO,2013,0.0
AZ_CO,2014,0.0
AZ_CO,2015,0.0
AZ_CO,2016,0.0
AZ_CO,2017,0.0
AZ_CO,2018,0.0
AZ_CO,2019,0.0
AZ_CO,2020,0.0
AZ_CO,2021,0.0
AZ_CO,2022,0.0
AZ_NM,1990,4221627.0
AZ_NM,1991,0.0
AZ_NM,1992,0.0
AZ_NM,1993,0.0
AZ_NM,1994,1196698.0
AZ_NM,1995,0.0
AZ_NM,1996,0.0
AZ_NM,1997,0.0
AZ_NM,1998,0.0
AZ_NM,1999,0.0
AZ_NM,2000,141032.0
AZ_NM,2001,0.0
AZ_NM,2002,328729.0
AZ_NM,2003,0.0
AZ_NM,2004,331840.0
AZ_NM,2005,0.0
AZ_NM,2006,0.0
AZ_NM,2007,0.0
AZ_NM,2008,0.0
AZ_NM,2009,0.0
AZ_NM,2010,0.0
AZ_NM,2011,0.0
AZ_NM,2012,0.0
AZ_NM,2013,0.0
AZ_NM,2014,0.0
AZ_NM,2015,0.0
AZ_NM,2016,0.0
AZ_NM,2017,0.0
AZ_NM,2018,188734.0
AZ_NM,2019,0.0
AZ_NM,2020,248880.0
AZ_NM,2021,0.0
AZ_NM,2022,0.0
AZ_NV,1990,171105.0
AZ_NV,1991,0.0
AZ_NV,1992,0.0
AZ_NV,1993,0.0
AZ_NV,1994,0.0
AZ_NV,1995,0.0
AZ_NV,1996,0.0
AZ_NV,1997,0.0
AZ_NV,1998,0.0
AZ_NV,1999,0.0
AZ_NV,2000,0.0
AZ_NV,2001,0.0
AZ_NV,2002,0.0
AZ_NV,2003,0.0
AZ_NV,2004,0.0
AZ_NV,2005,0.0
AZ_NV,2006,0.0
AZ_NV,2007,0.0
AZ_NV,2008,0.0
AZ_NV,2009,0.0
AZ_NV,2010,0.0
AZ_NV,2011,0.0
AZ_NV,2012,0.0
AZ_NV,2013,0.0
AZ_NV,2014,0.0
AZ_NV,2015,0.0
AZ_NV,2016,0.0
AZ_NV,2017,0.0
AZ_NV,2018,0.0
AZ_NV,2019,0.0
AZ_NV,2020,0.0
AZ_NV,2021,0.0
AZ_NV,2022,0.0
AZ_UT,1990,0.0
AZ_UT,1991,0.0
AZ_UT,1992,0.0
AZ_UT,1993,0.0
AZ_UT,1994,0.0
AZ_UT,1995,0.0
AZ_UT,1996,0.0
AZ_UT,1997,0.0
AZ_UT,1998,0.0
AZ_UT,1999,0.0
AZ_UT,2000,0.0
AZ_UT,2001,0.0
AZ_UT,2002,0.0
AZ_UT,2003,0.0
AZ_UT,2004,0.0
AZ_UT,2005,0.0
AZ_UT,2006,0.0
AZ_UT,2007,0.0
AZ_UT,2008,0.0
AZ_UT,2009,0.0
AZ_UT,2010,0.0
AZ_UT,2011,0.0
AZ_UT,2012,0.0
AZ_UT,2013,0.0
AZ_UT,2014,0.0
AZ_UT,2015,0.0
AZ_UT,2016,0.0
AZ_UT,2017,0.0
AZ_UT,2018,0.0
AZ_UT,2019,0.0
AZ_UT,2020,0.0
AZ_UT,2021,0.0
AZ_UT,2022,0.0
CA_NV,1990,21777.0
CA_NV,1991,0.0
CA_NV,1992,0.0
CA_NV,1993,0.0
CA_NV,1994,735233.0
CA_NV,1995,111996.0
CA_NV,1996,0.0
CA_NV,1997,13481.0
CA_NV,1998,0.0
