BLD_YRS_FOR_LNG_STORAGE_1,BLD_YRS_FOR_LNG_STORAGE_2,BuildLNGStorageCap
AL,1965,2688768.0
AL,1966,0.0
AL,1967,0.0
AL,1968,0.0
AL,1969,0.0
AL,1970,0.0
AL,1971,0.0
AL,1972,1008000.0
AL,1973,0.0
AL,1974,0.0
AL,1975,0.0
AL,1976,0.0
AL,1977,0.0
AL,1978,0.0
AL,1979,0.0
AL,1980,0.0
AL,1981,0.0
AL,1982,0.0
AL,1983,0.0
AL,1984,0.0
AL,1985,0.0
AL,1986,0.0
AL,1987,0.0
AL,1988,0.0
AL,1989,0.0
AL,1990,0.0
AL,1991,0.0
AL,1992,0.0
AL,1993,0.0
AL,1994,0.0
AL,1995,11658.2400000002
AL,1996,0.0
AL,1997,0.0
AL,1998,0.0
AL,1999,0.0
AL,2000,0.0
AL,2001,0.0
AL,2002,0.0
AL,2003,0.0
AL,2004,0.0
AL,2005,0.0
AL,2006,0.0
AL,2007,0.0
AL,2008,0.0
AL,2009,0.0
AL,2010,0.0
AL,2011,0.0
AL,2012,0.0
AL,2013,0.0
AL,2014,0.0
AL,2015,0.0
AL,2016,0.0
AL,2017,0.0
AL,2018,0.0
AL,2019,0.0
AL,2020,0.0
AL,2021,0.0
AL,2022,0.0
AR,1965,0.0
AR,1966,0.0
AR,1967,0.0
AR,1968,0.0
AR,1969,0.0
AR,1970,0.0
AR,1971,0.0
AR,1972,316800.0
AR,1973,0.0
AR,1974,0.0
AR,1975,0.0
AR,1976,0.0
AR,1977,0.0
AR,1978,0.0
AR,1979,0.0
AR,1980,0.0
AR,1981,0.0
AR,1982,0.0
AR,1983,0.0
AR,1984,0.0
AR,1985,0.0
AR,1986,0.0
AR,1987,0.0
AR,1988,0.0
AR,1989,0.0
AR,1990,0.0
AR,1991,0.0
AR,1992,0.0
AR,1993,0.0
AR,1994,0.0
AR,1995,0.0
AR,1996,0.0
AR,1997,0.0
AR,1998,0.0
AR,1999,0.0
AR,2000,0.0
AR,2001,0.0
AR,2002,0.0
AR,2003,0.0
AR,2004,0.0
AR,2005,0.0
AR,2006,0.0
AR,2007,0.0
AR,2008,0.0
AR,2009,0.0
AR,2010,0.0
AR,2011,0.0
AR,2012,0.0
AR,2013,0.0
AR,2014,0.0
AR,2015,0.0
AR,2016,0.0
AR,2017,0.0
AR,2018,0.0
AR,2019,0.0
AR,2020,0.0
AR,2021,0.0
AR,2022,0.0
AZ,1965,13708.8
AZ,1966,0.0
AZ,1967,0.0
AZ,1968,0.0
AZ,1969,0.0
AZ,1970,0.0
AZ,1971,0.0
AZ,1972,0.0
AZ,1973,0.0
AZ,1974,0.0
AZ,1975,0.0
AZ,1976,0.0
AZ,1977,0.0
AZ,1978,0.0
AZ,1979,0.0
AZ,1980,0.0
AZ,1981,0.0
AZ,1982,0.0
AZ,1983,0.0
AZ,1984,0.0
AZ,1985,0.0
AZ,1986,0.0
AZ,1987,0.0
AZ,1988,0.0
AZ,1989,0.0
AZ,1990,0.0
AZ,1991,0.0
AZ,1992,0.0
AZ,1993,0.0
AZ,1994,0.0
AZ,1995,0.0
AZ,1996,0.0
AZ,1997,0.0
AZ,1998,0.0
AZ,1999,0.0
AZ,2000,0.0
AZ,2001,0.0
AZ,2002,0.0
AZ,2003,0.0
AZ,2004,0.0
AZ,2005,0.0
AZ,2006,0.0
AZ,2007,0.0
AZ,2008,0.0
AZ,2009,0.0
AZ,2010,0.0
AZ,2011,0.0
AZ,2012,13714.56
AZ,2013,0.0
AZ,2014,13708.8
AZ,2015,0.0
AZ,2016,0.0
AZ,2017,0.0
AZ,2018,0.0
AZ,2019,384451.2
AZ,2020,0.0
AZ,2021,0.0
AZ,2022,0.0
CA,1965,0.0
CA,1966,0.0
CA,1967,0.0
CA,1968,1918.08
CA,1969,0.0
CA,1970,0.0
CA,1971,0.0
CA,1972,0.0
CA,1973,0.0
CA,1974,0.0
CA,1975,0.0
CA,1976,0.0
CA,1977,0.0
CA,1978,0.0
CA,1979,0.0
CA,1980,0.0
CA,1981,0.0
CA,1982,0.0
CA,1983,0.0
CA,1984,0.0
CA,1985,0.0
CA,1986,0.0
CA,1987,0.0
CA,1988,0.0
CA,1989,0.0
CA,1990,0.0
CA,1991,0.0
CA,1992,0.0
CA,1993,0.0
CA,1994,0.0
CA,1995,0.0
CA,1996,0.0
CA,1997,0.0
CA,1998,0.0
CA,1999,0.0
CA,2000,0.0
CA,2001,0.0
CA,2002,0.0
CA,2003,0.0
CA,2004,2954.88
CA,2005,0.0
CA,2006,420.48
CA,2007,0.0
CA,2008,1601.28
CA,2009,1848.96
CA,2010,0.0
CA,2011,0.0
CA,2012,2327.04
CA,2013,961.92
CA,2014,4216.32
CA,2015,0.0
CA,2016,8432.64
CA,2017,0.0
CA,2018,0.0
CA,2019,0.0
