BLD_YRS_FOR_GAS_WELL_1,BLD_YRS_FOR_GAS_WELL_2,BLD_YRS_FOR_GAS_WELL_3,BuildWellNum
AL,V,2005,0.0
AL,D,2005,0.0
AL,V,2015,0.0
AL,D,2015,0.0
AL,V,2012,0.0
AL,D,2012,0.0
AL,V,2013,0.0
AL,D,2013,0.0
AL,V,2014,0.0
AL,D,2014,0.0
AL,V,2008,1.0
AL,D,2008,268.0
AL,V,2009,0.0
AL,D,2009,53.0
AL,V,2010,0.0
AL,D,2010,113.0
AL,V,2011,0.0
AL,D,2011,0.0
AL,V,1998,0.0
AL,D,1998,15.0
AL,V,1999,0.0
AL,D,1999,33.0
AL,V,2016,0.0
AL,D,2016,0.0
AL,V,2017,0.0
AL,D,2017,0.0
AL,V,2018,0.0
AL,D,2018,0.0
AL,V,1990,2.0
AL,D,1990,637.0
AL,V,1991,3.0
AL,D,1991,1027.0
AL,V,1992,0.0
AL,D,1992,0.0
AL,V,2007,1.0
AL,D,2007,363.0
AL,V,2019,0.0
AL,D,2019,0.0
AL,V,2004,1.0
AL,D,2004,368.0
AL,V,1997,0.0
AL,D,1997,51.0
AL,V,2001,1.0
AL,D,2001,237.0
AL,V,2002,1.0
AL,D,2002,205.0
AL,V,2003,1.0
AL,D,2003,353.0
AL,V,2000,1.0
AL,D,2000,154.0
AL,V,1996,2.0
AL,D,1996,577.0
AL,V,2020,0.0
AL,D,2020,0.0
AL,V,1993,1.0
AL,D,1993,163.0
AL,V,1995,0.0
AL,D,1995,0.0
AL,V,1994,0.0
AL,D,1994,51.0
AL,V,2006,2.0
AL,D,2006,702.0
AR,V,2008,22.0
AR,D,2008,1.0
AR,H,2008,796.0
AR,V,2002,46.0
AR,D,2002,1.0
AR,H,2002,1646.0
AR,V,2007,26.0
AR,D,2007,1.0
AR,H,2007,932.0
AR,V,2009,20.0
AR,D,2009,1.0
AR,H,2009,702.0
AR,V,2010,29.0
AR,D,2010,1.0
AR,H,2010,1053.0
AR,V,2018,0.0
AR,D,2018,0.0
AR,H,2018,0.0
AR,V,2011,28.0
AR,D,2011,1.0
AR,H,2011,1002.0
AR,V,2016,0.0
AR,D,2016,0.0
AR,H,2016,0.0
AR,V,2017,0.0
AR,D,2017,0.0
AR,H,2017,0.0
AR,V,2014,12.0
AR,D,2014,0.0
AR,H,2014,441.0
AR,V,2015,5.0
AR,D,2015,0.0
AR,H,2015,176.0
AR,V,2012,16.0
AR,D,2012,1.0
AR,H,2012,568.0
AR,V,2013,8.0
AR,D,2013,0.0
AR,H,2013,303.0
AR,V,2005,0.0
AR,D,2005,0.0
AR,H,2005,2.0
AR,V,2006,10.0
AR,D,2006,0.0
AR,H,2006,342.0
AR,V,2019,0.0
AR,D,2019,0.0
AR,H,2019,0.0
AR,V,2020,0.0
AR,D,2020,0.0
AR,H,2020,0.0
AR,V,2004,0.0
AR,D,2004,0.0
AR,H,2004,0.0
AR,V,2003,23.0
AR,D,2003,1.0
AR,H,2003,827.0
AZ,H,2013,0.0
AZ,V,2013,0.0
AZ,D,2013,0.0
AZ,H,2007,0.0
AZ,V,2007,0.0
AZ,D,2007,0.0
AZ,H,2014,0.0
AZ,V,2014,0.0
AZ,D,2014,2.0
