DRBidWeight_index_1,DRBidWeight_index_2,DRBidWeight_index_3,DRBidWeight_index_4,DRBidWeight
1,AL,20230101,EI,0.0
1,AL,20230101,RC,0.0
1,AL,20230102,EI,0.0
1,AL,20230102,RC,0.0
1,AL,20230103,EI,0.0
1,AL,20230103,RC,0.0
1,AL,20230104,EI,0.0
1,AL,20230104,RC,0.0
1,AL,20230105,EI,0.0
1,AL,20230105,RC,0.0
1,AL,20230106,EI,0.0
1,AL,20230106,RC,0.0
1,AL,20230107,EI,0.0
1,AL,20230107,RC,0.0
1,AL,20230108,EI,0.0
1,AL,20230108,RC,0.0
1,AL,20230109,EI,0.0
1,AL,20230109,RC,0.0
1,AL,20230110,EI,0.0
1,AL,20230110,RC,0.0
1,AL,20230111,EI,0.0
1,AL,20230111,RC,0.0
1,AL,20230112,EI,0.0
1,AL,20230112,RC,0.0
1,AL,20230113,EI,0.0
1,AL,20230113,RC,0.0
1,AL,20230114,EI,0.0
1,AL,20230114,RC,0.0
1,AL,20230115,EI,0.0
1,AL,20230115,RC,0.0
1,AL,20230116,EI,0.0
1,AL,20230116,RC,0.0
1,AL,20230117,EI,0.0
1,AL,20230117,RC,0.0
1,AL,20230118,EI,0.0
1,AL,20230118,RC,0.0
1,AL,20230119,EI,0.0
1,AL,20230119,RC,0.0
1,AL,20230120,EI,0.0
1,AL,20230120,RC,0.0
1,AL,20230121,EI,0.0
1,AL,20230121,RC,0.0
1,AL,20230122,EI,0.0
1,AL,20230122,RC,0.0
1,AL,20230123,EI,0.0
1,AL,20230123,RC,0.0
1,AL,20230124,EI,0.0
1,AL,20230124,RC,0.0
1,AL,20230125,EI,0.0
1,AL,20230125,RC,0.0
1,AL,20230126,EI,0.0
1,AL,20230126,RC,0.0
1,AL,20230127,EI,0.0
1,AL,20230127,RC,0.0
1,AL,20230128,EI,0.0
1,AL,20230128,RC,0.0
1,AL,20230129,EI,0.0
1,AL,20230129,RC,0.0
1,AL,20230130,EI,0.0
1,AL,20230130,RC,0.0
1,AL,20230131,EI,0.0
1,AL,20230131,RC,0.0
1,AL,20230201,EI,0.0
1,AL,20230201,RC,0.0
1,AL,20230202,EI,0.0
1,AL,20230202,RC,0.0
1,AL,20230203,EI,0.0
1,AL,20230203,RC,0.0
1,AL,20230204,EI,0.0
1,AL,20230204,RC,0.0
1,AL,20230205,EI,0.0
1,AL,20230205,RC,0.0
1,AL,20230206,EI,0.0
