GAS_LINES_TIMESERIES_1,GAS_LINES_TIMESERIES_2,GAS_LINES_TIMESERIES_3,DispatchGl
MN,IA,20230101,0.0
MN,IA,20230102,0.0
MN,IA,20230103,0.0
MN,IA,20230104,0.0
MN,IA,20230105,0.0
MN,IA,20230106,0.0
MN,IA,20230107,0.0
MN,IA,20230108,0.0
MN,IA,20230109,0.0
MN,IA,20230110,0.0
MN,IA,20230111,0.0
MN,IA,20230112,0.0
MN,IA,20230113,0.0
MN,IA,20230114,0.0
MN,IA,20230115,0.0
MN,IA,20230116,0.0
MN,IA,20230117,0.0
MN,IA,20230118,0.0
MN,IA,20230119,0.0
MN,IA,20230120,0.0
MN,IA,20230121,0.0
MN,IA,20230122,0.0
MN,IA,20230123,0.0
MN,IA,20230124,0.0
MN,IA,20230125,0.0
MN,IA,20230126,0.0
MN,IA,20230127,0.0
MN,IA,20230128,0.0
MN,IA,20230129,0.0
MN,IA,20230130,0.0
MN,IA,20230131,0.0
MN,IA,20230201,0.0
MN,IA,20230202,0.0
MN,IA,20230203,0.0
MN,IA,20230204,0.0
MN,IA,20230205,0.0
MN,IA,20230206,0.0
MN,IA,20230207,0.0
MN,IA,20230208,0.0
MN,IA,20230209,0.0
MN,IA,20230210,0.0
MN,IA,20230211,0.0
MN,IA,20230212,0.0
MN,IA,20230213,0.0
MN,IA,20230214,0.0
MN,IA,20230215,0.0
MN,IA,20230216,0.0
MN,IA,20230217,0.0
MN,IA,20230218,0.0
MN,IA,20230219,0.0
MN,IA,20230220,0.0
MN,IA,20230221,0.0
MN,IA,20230222,0.0
MN,IA,20230223,0.0
MN,IA,20230224,0.0
MN,IA,20230225,0.0
MN,IA,20230226,0.0
MN,IA,20230227,0.0
MN,IA,20230228,0.0
MN,IA,20230301,0.0
MN,IA,20230302,0.0
MN,IA,20230303,0.0
MN,IA,20230304,0.0
MN,IA,20230305,0.0
MN,IA,20230306,0.0
MN,IA,20230307,0.0
MN,IA,20230308,0.0
MN,IA,20230309,0.0
MN,IA,20230310,0.0
MN,IA,20230311,0.0
MN,IA,20230312,0.0
MN,IA,20230313,0.0
MN,IA,20230314,0.0
MN,IA,20230315,0.0
MN,IA,20230316,0.0
MN,IA,20230317,0.0
MN,IA,20230318,0.0
MN,IA,20230319,0.0
MN,IA,20230320,0.0
MN,IA,20230321,0.0
MN,IA,20230322,0.0
MN,IA,20230323,0.0
MN,IA,20230324,0.0
MN,IA,20230325,0.0
MN,IA,20230326,0.0
MN,IA,20230327,0.0
MN,IA,20230328,0.0
MN,IA,20230329,0.0
MN,IA,20230330,0.0
MN,IA,20230331,0.0
MN,IA,20230401,0.0
MN,IA,20230402,0.0
MN,IA,20230403,0.0
MN,IA,20230404,0.0
MN,IA,20230405,0.0
MN,IA,20230406,0.0
MN,IA,20230407,0.0
MN,IA,20230408,0.0
MN,IA,20230409,0.0
MN,IA,20230410,0.0
MN,IA,20230411,0.0
MN,IA,20230412,0.0
MN,IA,20230413,0.0
MN,IA,20230414,0.0
MN,IA,20230415,0.0
MN,IA,20230416,0.0
MN,IA,20230417,0.0
MN,IA,20230418,0.0
MN,IA,20230419,0.0
MN,IA,20230420,0.0
MN,IA,20230421,0.0
MN,IA,20230422,0.0
MN,IA,20230423,0.0
MN,IA,20230424,0.0
MN,IA,20230425,0.0
MN,IA,20230426,0.0
MN,IA,20230427,0.0
MN,IA,20230428,0.0
MN,IA,20230429,0.0
MN,IA,20230430,0.0
MN,IA,20230501,0.0
MN,IA,20230502,0.0
MN,IA,20230503,0.0
MN,IA,20230504,0.0
MN,IA,20230505,0.0
MN,IA,20230506,117065.27455302048
MN,IA,20230507,0.0
MN,IA,20230508,0.0
MN,IA,20230509,0.0
MN,IA,20230510,0.0
MN,IA,20230511,0.0
MN,IA,20230512,0.0
MN,IA,20230513,0.0
MN,IA,20230514,0.0
MN,IA,20230515,0.0
MN,IA,20230516,0.0
MN,IA,20230517,0.0
MN,IA,20230518,0.0
MN,IA,20230519,0.0
MN,IA,20230520,0.0
MN,IA,20230521,0.0
MN,IA,20230522,0.0
MN,IA,20230523,0.0
MN,IA,20230524,0.0
MN,IA,20230525,0.0
MN,IA,20230526,75615.09882914799
MN,IA,20230527,44876.57694458577
MN,IA,20230528,0.0
MN,IA,20230529,0.0
MN,IA,20230530,0.0
MN,IA,20230531,0.0
MN,IA,20230601,0.0
MN,IA,20230602,0.0
MN,IA,20230603,0.0
MN,IA,20230604,0.0
MN,IA,20230605,0.0
MN,IA,20230606,0.0
MN,IA,20230607,0.0
MN,IA,20230608,0.0
MN,IA,20230609,52280.99997709226
MN,IA,20230610,0.0
MN,IA,20230611,25990.02546577435
MN,IA,20230612,337608.94023822644
MN,IA,20230613,204431.16961723368
MN,IA,20230614,0.0
MN,IA,20230615,0.0
MN,IA,20230616,0.0
MN,IA,20230617,0.0
MN,IA,20230618,0.0
MN,IA,20230619,0.0
MN,IA,20230620,0.0
MN,IA,20230621,0.0
MN,IA,20230622,0.0
MN,IA,20230623,0.0
MN,IA,20230624,0.0
MN,IA,20230625,0.0
MN,IA,20230626,0.0
MN,IA,20230627,0.0
MN,IA,20230628,0.0
MN,IA,20230629,0.0
MN,IA,20230630,0.0
MN,IA,20230701,0.0
MN,IA,20230702,0.0
MN,IA,20230703,0.0
MN,IA,20230704,0.0
MN,IA,20230705,0.0
MN,IA,20230706,176601.15124039073
MN,IA,20230707,0.0
MN,IA,20230708,0.0
MN,IA,20230709,0.0
MN,IA,20230710,0.0
MN,IA,20230711,0.0
MN,IA,20230712,92629.1352075513
MN,IA,20230713,532322.80837447
MN,IA,20230714,202785.77874725312
MN,IA,20230715,0.0
MN,IA,20230716,229218.67751657544
MN,IA,20230717,35733.281370020704
MN,IA,20230718,49491.64795734931
MN,IA,20230719,389608.6917988636
MN,IA,20230720,0.0
MN,IA,20230721,567383.4247534751
MN,IA,20230722,0.0
MN,IA,20230723,37627.69574003364
MN,IA,20230724,0.0
MN,IA,20230725,282041.10585276666
MN,IA,20230726,0.0
MN,IA,20230727,0.0
MN,IA,20230728,0.0
MN,IA,20230729,0.0
MN,IA,20230730,398788.14721143304
