gas_zone,period,BuildLNGStorageCap,LNG_storage_total_cap
AL,2023,0,3.70843e+06
AR,2023,0,316800
AZ,2023,0,425583
CA,2023,0,24681.6
CO,2023,0,0
CT,2023,0,6.0203e+06
DC,2023,0,0
DE,2023,0,417600
FL,2023,0,764150
GA,2023,0,1.03104e+07
IA,2023,0,6.4834e+06
ID,2023,0,1.0176e+06
IL,2023,0,3.3408e+06
IN,2023,0,1.00224e+07
KS,2023,0,0
KY,2023,0,0
LA,2023,0,1.55657e+07
MA,2023,0,2.26605e+07
MD,2023,0,1.6704e+06
ME,2023,0,20367.4
MI,2023,0,0
MN,2023,0,8.80128e+06
MO,2023,0,0
MS,2023,0,1.152e+07
MT,2023,0,7545.6
NC,2023,0,1.34136e+07
ND,2023,0,2741.76
NE,2023,0,1.68348e+06
NH,2023,0,21801.6
NJ,2023,0,6.36941e+06
NM,2023,0,0
NV,2023,0,1.6704e+06
NY,2023,0,5.3568e+06
OH,2023,0,0
OK,2023,0,0
OR,2023,0,2.736e+06
PA,2023,0,1.21179e+07
RI,2023,0,3.7728e+06
SC,2023,0,3.168e+06
SD,2023,0,0
TN,2023,0,7.34976e+06
TX,2023,0,2.88314e+07
UT,2023,0,2.05714e+06
VA,2023,0,2.34547e+06
VT,2023,0,0
WA,2023,0,5.08909e+06
WI,2023,0,2.53978e+06
WV,2023,0,0
WY,2023,0,34853.8
