gas_line_gz1,gas_line_gz2,period,GAS_LINES,gas_line_build_directional_cap,gas_line_directional_total_cap,gas_line_build_general_cap,gas_line_general_total_cap
MN,IA,2023,IA_MN,0,4.27762e+06,0,4.98693e+06
CO,OK,2023,CO_OK,0,533018,0,533018
AZ,NM,2023,AZ_NM,0,0,0,6.46258e+06
AL,MS,2023,AL_MS,0,3.67616e+06,0,2.31012e+07
AL,FL,2023,AL_FL,0,5.03982e+06,0,5.03982e+06
KY,IN,2023,IN_KY,0,3.74772e+06,0,6.08408e+06
WV,KY,2023,KY_WV,5.28867e+06,9.46571e+06,2.41929e+06,9.46571e+06
DE,NJ,2023,DE_NJ,0,146217,0,146217
KY,OH,2023,KY_OH,0,4.31807e+06,0,8.49096e+06
GA,TN,2023,GA_TN,0,156587,1.36127e+06,1.70141e+06
AR,OK,2023,AR_OK,0,20740,0,2.23888e+06
SD,MN,2023,MN_SD,0,2.46288e+06,0,2.46288e+06
IA,SD,2023,IA_SD,0,97478,0,97478
SD,IA,2023,IA_SD,0,20740,0,97478
WV,PA,2023,PA_WV,0,7.15841e+06,0,1.44693e+07
MT,ND,2023,MT_ND,0,3.31736e+06,0,3.41484e+06
MS,TN,2023,MS_TN,0,1.04001e+07,0,1.80977e+07
WV,OH,2023,OH_WV,0,9.83594e+06,0,1.16424e+07
AR,TX,2023,AR_TX,0,1.56587e+06,0,3.05293e+06
GA,AL,2023,AL_GA,0,2.06985e+06,0,1.04903e+07
IA,MN,2023,IA_MN,0,2.00141e+06,0,4.98693e+06
FL,AL,2023,AL_FL,0,0,0,5.03982e+06
MA,NY,2023,MA_NY,0,0,1.12045e+06,2.3327e+06
NE,KS,2023,KS_NE,0,1.90808e+06,0,6.28007e+06
FL,GA,2023,FL_GA,0,0,0,1.76083e+06
KS,NE,2023,KS_NE,0,4.46428e+06,0,6.28007e+06
MS,AL,2023,AL_MS,0,2.11942e+07,0,2.31012e+07
OK,AR,2023,AR_OK,0,2.23888e+06,0,2.23888e+06
OR,ID,2023,ID_OR,0,498797,532831,1.2131e+06
NE,CO,2023,CO_NE,0,2.81338e+06,0,3.00263e+06
NM,UT,2023,NM_UT,0,0,0,0
UT,NV,2023,NV_UT,734087,4.82505e+06,734087,4.82505e+06
KY,IL,2023,IL_KY,777750,2.37888e+06,0,2.37888e+06
VA,MD,2023,MD_VA,0,6.12037e+06,0,8.50236e+06
IL,MO,2023,IL_MO,0,4.19985e+06,0,9.40248e+06
AZ,UT,2023,AZ_UT,0,0,0,0
ID,UT,2023,ID_UT,0,309026,0,705160
WY,ID,2023,ID_WY,0,0,0,0
