gas_zone,timeseries,ShadowPrice
AL,20230101,3.07764
AL,20230102,3.02485
AL,20230103,3.00887
AL,20230104,3.1159
AL,20230105,3.30046
AL,20230106,3.0706
AL,20230107,3.08487
AL,20230108,3.11835
AL,20230109,3.19338
AL,20230110,3.05759
AL,20230111,2.8778
AL,20230112,2.94474
AL,20230113,2.89884
AL,20230114,3.69624
AL,20230115,3.69629
AL,20230116,3.0698
AL,20230117,2.89562
AL,20230118,2.50665
AL,20230119,2.19081
AL,20230120,3.03722
AL,20230121,3.25847
AL,20230122,3.46445
AL,20230123,3.69674
AL,20230124,3.7028
AL,20230125,3.72237
AL,20230126,3.46088
AL,20230127,3.57182
AL,20230128,3.12633
AL,20230129,2.99896
AL,20230130,3.00971
AL,20230131,3.38696
AL,20230201,3.38637
AL,20230202,3.40604
AL,20230203,3.13209
AL,20230204,3.05399
AL,20230205,2.93229
AL,20230206,1.67631
AL,20230207,1.66606
AL,20230208,1.66959
AL,20230209,1.62478
AL,20230210,1.59177
AL,20230211,2.94799
AL,20230212,2.94984
AL,20230213,2.85311
AL,20230214,1.74048
AL,20230215,1.6754
AL,20230216,1.70734
AL,20230217,2.66286
AL,20230218,2.96303
AL,20230219,2.884
AL,20230220,1.44659
AL,20230221,1.3166
AL,20230222,1.34624
AL,20230223,1.83727
AL,20230224,2.72719
AL,20230225,2.85221
AL,20230226,2.80899
AL,20230227,1.77773
AL,20230228,1.72337
AL,20230301,1.81989
AL,20230302,2.03543
AL,20230303,1.89433
AL,20230304,1.99402
AL,20230305,1.85066
AL,20230306,1.77571
AL,20230307,1.84222
AL,20230308,1.81942
AL,20230309,1.81894
AL,20230310,1.61117
AL,20230311,1.70643
AL,20230312,1.70597
AL,20230313,2.3558
AL,20230314,2.89887
AL,20230315,2.86472
AL,20230316,1.75992
AL,20230317,1.62968
AL,20230318,2.71985
AL,20230319,2.93687
AL,20230320,2.9416
AL,20230321,1.88932
AL,20230322,1.28975
AL,20230323,1.2623
AL,20230324,1.24448
AL,20230325,1.2444
AL,20230326,1.29952
AL,20230327,1.29918
AL,20230328,1.24613
AL,20230329,1.21751
AL,20230330,1.21753
AL,20230331,1.28107
AL,20230401,1.25887
AL,20230402,1.27521
AL,20230403,1.26933
AL,20230404,1.26747
AL,20230405,1.32616
AL,20230406,1.41857
AL,20230407,1.40999
